アクター設定,ミシェル 笑顔,,
本文,\N[6]さん\.,\N[6]\c\.,
本文,もう一杯どうでしょうか？,how about another round?,
アクター設定,ソラ 通常,,
本文,\N[7]…,\N[7]...,
アクター設定,ソラ 特殊１,,
本文,もう限界だ…,I can't drink anymore...,
アクター設定,ソラ 特殊１,,
本文,助けてくれ…,Help me.,
アクター設定,ミシェル 特殊１,,
本文,そうですか…\.,I see.\.,
本文,せっかくの機会でしたのに,That's a shame.,
アクター設定,マリー 驚き・動揺,,
本文,お姉ちゃん…\.,You drank too much.,
本文,呑みすぎだよ,,
アクター設定,マリー 驚き・動揺,,
本文,もうワイン三本目だよ？,That's your third bottle of wine.,
アクター設定,ミシェル 驚き・動揺,,
本文,ワインなんて…\.,Wine\. is basically juice.,
本文,ジュースと変わらないですよ？,,
アクター設定,マリー 不信・怒り,,
本文,んなわけない！,No\c it's not!,
アクター設定,ミシェル 笑顔,,
本文,\N[4]も成人したのですから\.,You're of age now.\.,
本文,もう一杯どうでしょうか？,How about a glass?,
アクター設定,ミシェル 驚き・動揺,,
本文,もしや…,Or...,
アクター設定,ミシェル 悲しみ・焦り,,
本文,ワタシのお酒が飲めないというんですか？,are you saying you can't drink,my wine?
アクター設定,マリー 驚き・動揺,,
本文,敵前逃亡だ！,Every person for themselves!,
アクター設定,ミシェル 通常,,
本文,孤児院はどうでしょうか？,How's the orphanage?,
アクター設定,ミシェル 不信・怒り,,
本文,誘拐事件…\.,I was worried when I heard\.,
本文,心配しましたよ,about the kidnappings.,
アクター設定,ソラ 不信・怒り,,
本文,みんなのショックは和らいだと思う,I think the initial shock faded.,
アクター設定,ミシェル 不信・怒り,,
本文,違います,No.,
アクター設定,ミシェル 不信・怒り,,
本文,\N[6]さんの方です,I mean you.,
アクター設定,ソラ 驚き・動揺,,
本文,アタシ…？,Me?,
アクター設定,ソラ 笑顔,,
本文,アタシは全然…,I'm completely...,
アクター設定,ソラ 特殊１,,
本文,大丈夫じゃない,not fine.,
アクター設定,ミシェル 悲しみ・焦り,,
本文,それは困りました…,That's a problem.,
アクター設定,ソラ 不信・怒り,,
本文,みんな元気に振舞ってるけど,Everyone is acting fine\c,
アクター設定,ソラ 特殊１,,
本文,夜は寝ないし…,but they don't sleep at night\c,
アクター設定,ソラ 特殊１,,
本文,すぐ魔法使おうとするし…,and they try to use magic.,
アクター設定,ソラ 特殊１,,
本文,\N[2]はすぐ怒るし…,And \N[2] is quick to anger.,
アクター設定,ソラ 特殊１,,
本文,\N[5]は\N[3]の元で働くとか言い出すし…,And \N[5] said he wanted to work under \N[3].,
アクター設定,ミシェル 通常,,
本文,だいぶ\. お疲れですね,You sound exhausted.,
アクター設定,ソラ 不信・怒り,,
本文,そりゃ…,Yeah.,
アクター設定,ソラ 不信・怒り,,
本文,\N[7]も\.,Plus\c\.,
本文,全然 会いに来てくれないじゃない,you never come visit.,
アクター設定,ミシェル 笑顔,,
本文,ふふ…,Hehe.,
アクター設定,ソラ 特殊１,,
本文,そこで笑うんじゃない！,That's not funny!,
アクター設定,ミシェル 通常,,
本文,いいえ\. ゴメンナサイ,No\c\. I'm sorry.,
アクター設定,ミシェル 通常,,
本文,こうやって\.,Being able to\. talk to you like this...,
本文,ゆっくり話ができるようになるなんて,,
アクター設定,ミシェル 通常,,
本文,昔は全然\.,I never thought\.,
本文,思ってませんでしたから,it would be possible back then.,
アクター設定,ミシェル 不信・怒り,,
本文,孤児院を経営する,When you said you wanted,
