アクター設定,リン 通常,
本文,けん\.\^,Ken.\.\^
アクター設定,リン 通常,
本文,けん\.\^,Ken.\.\^
アクター設定,リン 通常,
本文,ぱっ\.\^,Bah!\.\^
アクター設定,リン 通常,
本文,あー！\.,Hey!\.
本文,魔法使いのお姉ちゃんだ！,It's the wizard lady!
アクター設定,リン 通常,
本文,こんにちわ,Hello.
アクター設定,レミィ 通常,
本文,えぇ\.,Yes.\.
本文,こんにちわ,Hello.
アクター設定,リン 通常,
本文,あれ？\.,Huh?\.
本文,\N[5]も一緒なの！？,\N[5] is with you?!
アクター設定,カイト 笑顔,
本文,\N[11],Long time no see\c
本文,久しぶり\.\^,\N[11].
アクター設定,リン 通常,
本文,もーう！,\N[5]!
本文,\N[5],
アクター設定,リン 通常,
本文,いきなり,You just disappeared!
本文,いなくなっちゃうんだもん,
アクター設定,カイト 不信・怒り,
本文,ごめん \N[11]\.,Sorry for leaving
本文,何も言わずに出てっちゃって,without saying goodbye.
アクター設定,ソラ 通常,
本文,ん…,Hm?
本文,どうした？,What's going on?
アクター設定,ソラ 通常,
本文,ずいぶんにぎやかじゃない\.,Is there a party over here?\.
本文,…って！,Hey!\.
アクター設定,レミィ 通常,
本文,お久しぶりです,Nice to see you again.
アクター設定,レミィ 通常,
本文,\N[6]先輩,\N[6].
アクター設定,ソラ 特殊１,
本文,げぇぇ \N[3]！,Gah\c it's \N[3]!
アクター設定,ソラ 驚き・動揺,
本文,…って！,Wait!
本文,\N[5]まで！？,\N[5]\c too?!
アクター設定,カイト 不信・怒り,
本文,ご無沙汰してます,Long time no see.
アクター設定,ソラ 不信・怒り,
本文,何で\N[3]と一緒にいるんだ,Why are you with \N[3]?
アクター設定,ソラ 不信・怒り,
本文,魔法使いには気をつけろって,I told you to be careful of wizards!
本文,言ったじゃない！,
アクター設定,カイト 驚き・動揺,
本文,え…っと,Well...
アクター設定,レミィ 通常,
本文,この子は,He's just with me
本文,一時的に預かっているだけよ,temporarily.
アクター設定,ソラ 驚き・動揺,
本文,預る？,Why is he with you?
本文,どうして\N[3]が,
アクター設定,レミィ 驚き・動揺,
本文,それは…,That's...
アクター設定,ソラ 不信・怒り,
本文,ちょっと待った,Hold on.
アクター設定,ソラ 不信・怒り,
本文,一旦,Why don't you come inside first.
本文,中に入ろう,
アクター設定,レミィ 通常,
本文,えぇ\.,Okay.\.
