アクター設定,,,,
本文,面倒くさがりのキミたちへ,To you lazy folks.,,
アクター設定,マリー 通常,,,
本文,ねぇ\. \N[5]くん\.,Hey\c\. \N[5].,,
本文,ぶっちゃけバトル面倒くさくない？,Aren't battles honestly a pain?,,
アクター設定,カイト 通常,,,
本文,面倒くさいって\.,A pain?\.,,
本文,そういう問題じゃ…,I don't think that's the issue...,,
アクター設定,マリー 笑顔,,,
本文,面倒だったらさ\.,If it's a pain\.,,
本文,パパっとスキップしちゃうけど\. どうする？,we can just skip it.\. What do you say?,,
アクター設定,マリー 通常,,,
本文,奮発してボスも楽勝にできちゃうよ？,You don't even have to worry about bosses.,,
アクター設定,カイト 通常,,,
本文,バトルをスキップ…？,Skip the battle?,,
選択肢の準備,スキップしない,スキップする,Don't skip.,Skip.
選択肢の遷移先,0,スキップしない,Don't skip.,
アクター設定,マリー 通常,,,
本文,おおぅ…\.,Okay...\.,,
本文,キミは意外と好戦的なのだね,Surprising. You like to fight.,,
選択肢の遷移先,1,スキップする,Skip.,
アクター設定,マリー 笑顔,,,
本文,おおぅ…\.,Okay...\.,,
本文,それならバトルはスキップしちゃうぞ！,We're gonna skip the battles\c then!,,
アクター設定,,,,
本文,バトルスキップの設定は…,You can always set the battle skip option,,
アクター設定,,,,
本文,メニュー画面の「Option」から,by accessing the Option menu from the main menu,,
本文,「バトルスキップ」の項目で いつでも 設定できます,and changing the Battle Skip selection.,,
