アクター設定,ハティ 通常,,
本文,\N[5] おめでとう,Congrats\c \N[5].,
アクター設定,カイト 通常,,
本文,ありがとう,Thank you.,
アクター設定,ハティ 通常,,
本文,これからもこの街にはいるんだろ,You're not leaving the city\c right?,
アクター設定,ハティ 通常,,
本文,だったら 今後もよろしくな,Then we'll be seeing more of each other.,
アクター設定,ハティ 通常,,
本文,おっす \N[5],Hey\c \N[5].,
本文,久しぶりだな,Long time no see.,
アクター設定,カイト 通常,,
本文,\N[12]は元気だった？,How have you been?,
アクター設定,ハティ 通常,,
本文,まぁな\.,I'd like to say not bad\c but...,
本文,と言いたいところだけど,,
アクター設定,カイト 通常,,
本文,何かあったの？,Did something happen?,
アクター設定,リン 通常,,
本文,あのね \N[5],The thing is...,
アクター設定,リン 通常,,
本文,\N[12]\.,\N[12] might leave the orphanage.,
本文,孤児院からいなくなっちゃうかもしれないの,,
アクター設定,カイト 驚き・動揺,,
本文,え！？,What?!,
アクター設定,リン 通常,,
本文,まだ決まったわけじゃないよ,It hasn't been decided yet.,
アクター設定,カイト 不信・怒り,,
本文,どういうこと…？,What do you mean?,
アクター設定,ハティ 通常,,
本文,里親が決まりそうなんだよ,I might be getting adopted.,
アクター設定,カイト 通常,,
本文,それは良いことじゃ,Isn't that a good thing?,
アクター設定,リン 通常,,
本文,良くないよ！,No\c it's not!,
アクター設定,カイト 驚き・動揺,,
本文,どうして？,Why not?,
アクター設定,リン 通常,,
本文,…だって\.,Because\.,
本文,もぅ \N[12]は,\N[12] won't...,
アクター設定,カイト 通常,,
本文,もしかして…,Wait...,
アクター設定,カイト 通常,,
本文,\N[12]は\N[6]さんと,You don't want to be apart,
本文,離れるのが嫌？,from \N[6]?,
アクター設定,ハティ 通常,,
本文,そんなんじゃないよ！,That's not it!,
本文,ただ…,It's just...,
アクター設定,リン 通常,,
本文,ただ…？,Just...?,
アクター設定,ハティ 通常,,
本文,\N[11]には関係ないだろ！,It's got nothing to do with you!,
アクター設定,リン 通常,,
本文,…！,...!,
アクター設定,ハティ 通常,,
本文,…ごめん,Sorry.,
本文,急に声荒げて,I didn't mean to lose it.,
アクター設定,リン 通常,,
本文,ううん わたしだって,No\c I'm sorry too.,
アクター設定,リン 通常,,
本文,わかるもん その気持ち,I know how you feel.,
アクター設定,ハティ 通常,,
本文,…ごめん,Sorry.,
アクター設定,ハティ 通常,,
本文,\N[5]にもごめん,And sorry\c\. \N[5].,
アクター設定,ハティ 通常,,
本文,お祝いなのに\.,I shouldn't be bringing this up,
本文,変な話題になっちゃって,when we're celebrating,your graduation.
アクター設定,カイト 不信・怒り,,
本文,いや ボクの方こそごめん,No\c I'm sorry too.,
アクター設定,リン 通常,,
本文,あ！,Oh!,
アクター設定,リン 通常,,
本文,\N[5] またすぐ謝ってる,There you go\c apologizing again.,
アクター設定,カイト 驚き・動揺,,
本文,えぇー！？,What?!,
アクター設定,カイト 驚き・動揺,,
本文,今のは 間違ってないでしょう！？,What was wrong with it this time?!,
アクター設定,リン 通常,,
本文,なーんてね,Just kidding.,
アクター設定,リン 通常,,
本文,\N[5]は相変わらずだなぁ,You haven't changed.,
アクター設定,ハティ 通常,,
本文,ははっ \.,Haha.\.,
本文,まったくだな,That's for sure.,
アクター設定,カイト 通常,,
本文,二人共…,You two...,
