アクター設定,アーシア 通常,
本文,なんすか？\.,What?\.
本文,こう見えても忙しいんですけど…\|\^,I may not look it\c but I'm busy.\|\^
アクター設定,アーシア 悲しみ・焦り,
本文,って なんでしょう\.,What's the big idea?\.
本文,ナイフなんかだしちゃって\|\^,Why did you take out a knife?\|\^
アクター設定,怪しい男 通常,
本文,このまま生きて,Did you think I'd let you live?\|\^
本文,帰れると思っているのか？\|\^,
アクター設定,アーシア 悲しみ・焦り,
本文,やだなぁ\.,Come on.\.
本文,冗談はやめてよし子ちゃんですよ\|\^,Quit horsing around.\|\^
アクター設定,怪しい男 通常,
本文,く くそっ\.,Wh-What the heck?\.
本文,あの女 どこ行きやがった…？\|\^,Where did that girl go?\|\^
アクター設定,カイト 特殊１,
本文,あっ…\|\^,Oh...\|\^
アクター設定,怪しい男 通常,
本文,…！\.,...!\.
本文,お前 見てたのか？\|\^,Were you watching?\|\^
アクター設定,カイト 特殊１,
本文,ボ \.ボクは何も…\|\^,I-\.I didn't see anything.\|\^
アクター設定,ノエル 通常,
本文,バ バカやろう\.,You stupid idiot.\.
本文,逃げるぞっ！\|\^,We gotta run!\|\^
