アクター設定,ニナ 通常,
本文,到着しました…,We made it.
アクター設定,マリー 通常,
本文,こんな遠く離れたところにも,I didn't know there was a settlement
本文,集落があるなんて,this far out.
アクター設定,マリー 通常,
本文,あの女は本当におるのかね？,Is that woman really here?
アクター設定,アーシア 悲しみ・焦り,
本文,た \.たぶん…,P-\.Probably.
アクター設定,マリー 不信・怒り,
本文,たぶん？,Probably?
アクター設定,アーシア 悲しみ・焦り,
本文,い\. いえ！\.,N-\.No\c I mean\c\.
本文,絶対いますってば,she's definitely here!
アクター設定,アーシア 通常,
本文,信頼ある情報筋なんで\.,I trust my source.\.
本文,問題ないかと！？,There should be no problem!
アクター設定,アーシア 驚き・動揺,
本文,あー…っと,Uh...
アクター設定,アーシア 通常,
本文,あたし 先に行って\.,I'll go on ahead\.
本文,歓待してきます！,and bring out the welcome wagon!
アクター設定,マリー 笑顔,
本文,VIP待遇を希望,I want the VIP treatment.
アクター設定,ニナ 通常,
本文,…,...
アクター設定,ニナ 特殊１,
本文,\N[4]さん,\N[4].
アクター設定,マリー 通常,
本文,どうしたのかね\. \N[2]くん,What is it\c\. \N[2]?
アクター設定,ニナ 通常,
本文,\N[4]さんは,Why...
アクター設定,ニナ 特殊１,
本文,どうして ここまで来たんですか？,Why did you come this far?
アクター設定,マリー 通常,
本文,んー…？,Hm?
アクター設定,マリー 通常,
本文,あの女を助けて\.,To save that woman\.
本文,\N[5]に元気になってもらうためだよ,and cheer up \N[5].
アクター設定,マリー 通常,
本文,なんてたって アタシは…,I mean...
アクター設定,マリー 笑顔,
本文,\N[5]の保護者\.,I'm like \N[5]'s guardian.
本文,みたいなもんだからね,
アクター設定,ニナ 不信・怒り,
本文,…,...
アクター設定,マリー 特殊１,
本文,てへっ♪,Teehee.
アクター設定,ニナ 不信・怒り,
本文,\N[3]さんのこと\.,I thought you hated \N[3].
本文,嫌ってたはずです,
アクター設定,マリー 通常,
本文,それは 語弊があるね,That's a misunderstanding.
アクター設定,マリー 通常,
本文,魔法使いを率いる,I just don't think she's capable
本文,器じゃないとは思ってるけど,of leading wizards.
アクター設定,マリー 笑顔,
本文,それが どうかした？,So what?
アクター設定,ニナ 特殊１,
本文,いえ…,Nothing...
アクター設定,マリー 攻撃時,
本文,はっくち！,Achoo!
アクター設定,マリー 攻撃時,
本文,うえぇ\.,Ugh.\.
本文,辺境の夜は冷えるなぁ,It gets cold at night out here.
アクター設定,マリー 特殊１,
本文,あったかい\.,I want to drink\.
本文,コーヒー牛乳が飲みたいよぉ！,some warm coffee milk!
アクター設定,ニナ 特殊１,
本文,…,...
