アクター設定,,,,
本文,甘いもの好きかい？,Do you like sweets?,,
アクター設定,マリー 通常,,,
本文,ねぇっ \N[5]くん！\.,Hey\c \N[5]!\.,,
本文,苦いものがダメならさ…,If you don't like bitter stuff…,,
アクター設定,マリー 笑顔,,,
本文,甘い物は好きかね？\.,Do you like sweets?\.,,
本文,チョコ食べる？,Want some chocolate?,,
アクター設定,マリー 通常,,,
本文,ねぇっ \N[5]くん！\.,Hey\c \N[5]!\.,,
本文,コーヒー好きってことはさ…,Since you like coffee…,,
アクター設定,マリー 笑顔,,,
本文,甘い物も好きかね？\.,Do you like sweets\c too?\.,,
本文,チョコ食べる？,Want some chocolate?,,
アクター設定,カイト 通常,,,
本文,（どうしようかな…）,(What should I do?),,
選択肢の準備,いただきます,甘い物はちょっと……,Yes\c please.,Sweets aren't my thing.
選択肢の遷移先,0,いただきます,Yes\c please.,
アクター設定,マリー 通常,,,
本文,魔法使うなら\.,If you're going to use magic\.,,
本文,やっぱし甘い物だよね～,you have to have your sweets.,,
選択肢の遷移先,1,甘い物はちょっと……,Sweets aren't my thing.,
アクター設定,マリー 驚き・動揺,,,
本文,おぉ…　\.\N[5]くん,Wow\c \N[5].,,
本文,見かけによらず渋い味覚なんだね,Your tastes are more sophisticated,than you would think looking at you.,
アクター設定,マリー 通常,,,
本文,うーん…？　\.\N[5]くん,Hm... \N[5].,,
本文,苦いものも甘いものも苦手？,So you don't like sweets or bitter foods?,,
アクター設定,マリー 通常,,,
本文,ちょっと アタシには\.,I can't say I understand.,,
本文,理解しがたいなぁ～,,,
