アクター設定,,,,
本文,魔法に関する歴史,History Relating to Magic,,
アクター設定,アーシア 通常,,,
本文,調べてみましょうか…,Let's look into it.,,
アクター設定,ニナ 驚き・動揺,,,
本文,わたしに読めるかな…,I'm not sure I can read this.,,
アクター設定,レミィ 特殊１,,,
本文,これは…\.,This is...\.,,
本文,本だわ,a book.,,
アクター設定,マリー 通常,,,
本文,読書の季節がやってきたね\.,The season for reading is here.\.,,
本文,まぁ\. アタシの場合は通年だけど,Although\c I do that all year round.,,
アクター設定,カイト 通常,,,
本文,どうしようかな…,What should I do?,,
アクター設定,,,,
本文,\>魔法に関する歴史,,,
選択肢の準備,読んでみる,やめておく,Read it.,Skip it.
選択肢の遷移先,0,読んでみる,Read it.,
アクター設定,,,,
本文,魔法に関する歴史,History Relating to Magic,,
アクター設定,,,,
本文,魔法はロストワールドが起源とされている,The Lost World is the source of magic.,,
アクター設定,,,,
本文,ロストワールドは,The Lost World possessed a special jewel,,
本文,「黒水晶」と呼ばれる特殊な宝石を所有し…,known as the Black Pearl.,,
アクター設定,,,,
本文,その力を媒介にして,It used its power as an intermediary,,
本文,独自の魔法体系を形成していた,to create its own independent,magic system.,
アクター設定,,,,
本文,やがてロストワールドが滅亡すると,The Lost World eventually collapsed\c\.,,
本文,「黒水晶」を手にした魔法学校により本格的な発展を遂げる,and the magic school began real growth,using the Black Pearl.,
アクター設定,,,,
本文,しかし魔法大戦の終結により,However\c since the magic war ended,,
本文,「黒水晶」はマモノを生み出す危険性があると考えられ…,it is thought that the Black Pearl,may spawn monsters.,
アクター設定,,,,
本文,平和利用のための協定が締結されることになったが,As they agreed to use it to maintain peace\c,,
本文,交渉は途中で空中分解してしまった,the negotiations broke down.,,
アクター設定,,,,
本文,またこの頃より「黒水晶」も行方不明である,The Black Pearl also went missing,around this time.,
アクター設定,,,,
本文,現在は一般的な基準として…,Current thoughts state that magic,,
アクター設定,,,,
本文,マモノ及びマモノに準ずる勢力に対してのみ,should only be used against monsters,,
本文,魔法を使ってもよいとされている,or forces similar to monsters.,,
選択肢の遷移先,1,やめておく,Skip it.,
