アクター設定,オルフェ 通常,
本文,\N[5]兄ちゃん\.,Hey\c \N[5]\c\.
本文,盗賊って何する人たち？,what do bandits do?
アクター設定,カイト 不信・怒り,
本文,他人のものを盗んだり\.,They steal people's stuff
本文,脅したりする人たちだよ,and threaten them. Things like that.
アクター設定,オルフェ 通常,
本文,ぼく 怖い…,Whoa\c they sound real scary.
アクター設定,カイト 笑顔,
本文,ここは大丈夫だよ,You're safe here\c though!
アクター設定,カイト 通常,
本文,でも\.,But if a stranger
本文,知らない人に声をかけられても…,tries to talk to you...
アクター設定,カイト 通常,
本文,ついていったりしちゃダメだよ,Make sure you don't go with them\c okay?
アクター設定,オルフェ 通常,
本文,うん 気をつけるね,Okay\c I'll be careful!
