アクター設定,ニナ 通常,,
本文,あとどれぐらいかかりそうなんですか？,How much longer?,
アクター設定,緊張しい魔法使い 通常,,
本文,えーっと…\.,Um.\.,
本文,二日ぐらいかと,Two days or something?,
アクター設定,ニナ 笑顔,,
本文,なんだ\.,Oh.\.,
本文,結構はやく終わるんですね,That's pretty quick.,
アクター設定,緊張しい魔法使い 通常,,
本文,あ…！,Oh!,
アクター設定,緊張しい魔法使い 通常,,
本文,ごめんなさい\.,I'm sorry.\.,
本文,市場の出入口の改修をしてまして…,We're renovating the marketplace entrance.,
アクター設定,ニナ 通常,,
本文,出入口の改修…？,Renovating the entrance?,
アクター設定,緊張しい魔法使い 通常,,
本文,道幅を広げるんです,We're widening the path.,
アクター設定,緊張しい魔法使い 通常,,
本文,最近 市場の往来が増えていますよね？,You know how we're getting more,traffic at the marketplace.
アクター設定,緊張しい魔法使い 通常,,
本文,ですから今後\. 馬車や荷台が来ても\.,That's why we thought it would be better\.,
本文,通れるようにしようと思いまして,if we could get through even when,there are carriages and carts.
アクター設定,ニナ 通常,,
本文,そうなんだ…,I see.,
アクター設定,緊張しい魔法使い 通常,,
本文,市場へ御用でれば\.,If you need to get to the marketplace\c\.,
本文,脇道の方を案内しますよ,I can take you to the side street.,
アクター設定,ニナ 通常,,
本文,いえ\. 今日は特に用はないので…,No\c\. I don't need to go to ,the marketplace today.
