アクター設定,マリー 笑顔,,,
本文,さてと…\.,Let's go then...\.,,
本文,それじゃ 行こっか,,,
アクター設定,ニナ 不信・怒り,,,
本文,どこにですか？,Go where?,,
アクター設定,マリー 通常,,,
本文,まぁ ついてきてよ,Just follow me.,,
アクター設定,ニナ 通常,,,
本文,ここは…,What is this place?,,
アクター設定,マリー 特殊１,,,
本文,じゃじゃーん！,Tada!,,
アクター設定,マリー 特殊１,,,
本文,アタシ特製の\.,It's my secret lab!,,
本文,秘密の研究室でした！,,,
アクター設定,マリー 笑顔,,,
本文,驚いた？,Are you surprised?,,
アクター設定,ニナ 驚き・動揺,,,
本文,はぁ…,Sure...,,
アクター設定,マリー 不信・怒り,,,
本文,反応 薄いなぁ,That's all you have to say?,,
アクター設定,マリー 通常,,,
本文,まぁ いいや\.,Whatever.\.,,
本文,\N[2]くん,\N[2].,,
アクター設定,マリー 通常,,,
本文,最終確認になるけど,Let me check with you one last time.,,
アクター設定,マリー 通常,,,
本文,ほんとうに\.,Are you really\.,,
本文,アタシに協力するつもりかね？,going to help me?,,
アクター設定,マリー 通常,,,
本文,\N[5]くんのために,For \N[5]?,,
アクター設定,ニナ 特殊１,,,
本文,協力…？,Help you?,,
選択肢の準備,何をすれば？,やっぱり引き返す,What do you need me to do?,I changed my mind.
選択肢の遷移先,0,何をすれば？,What do you need me to do?,
アクター設定,マリー 通常,,,
本文,ん…？,Hm?,,
アクター設定,マリー 驚き・動揺,,,
本文,もしかして\.,Wait.\.,,
本文,全然 伝わってない系？,Do you need me to spell it out?,,
アクター設定,マリー 驚き・動揺,,,
本文,アタシの秘密の研究を\.,You're going to learn about\.,,
本文,知るってことになるんだよ,my secret research.,,
アクター設定,ニナ 特殊１,,,
本文,（秘密って…）,(Secret research...?),,
選択肢の準備,秘密とは？,やっぱり引き返す,What secret?,I changed my mind.
選択肢の遷移先,0,秘密とは？,What secret?,
アクター設定,マリー 不信・怒り,,,
本文,んー…,Hmm...,,
アクター設定,マリー 不信・怒り,,,
本文,そんなに,It's not that important\c,,
本文,執着することじゃないと思うんだけど,,,
アクター設定,マリー 笑顔,,,
本文,どーしてもって 言うんなら,but if you really want to know\c,,
本文,このまま話進めるよ,I'll tell you.,,
アクター設定,ニナ 特殊１,,,
本文,（何で勿体ぶるんだろう…）,(Why is she being so coy about it?),,
選択肢の準備,構わないです,やっぱり引き返す,That's fine.,I changed my mind.
選択肢の遷移先,0,構わないです,That's fine.,
選択肢の遷移先,1,やっぱり引き返す,I changed my mind.,
選択肢の遷移先,1,やっぱり引き返す,I changed my mind.,
選択肢の遷移先,1,やっぱり引き返す,I changed my mind.,
