アクター設定,,,,
本文,今週の競争ピックアップ！,This Week's Race Picks,,
アクター設定,アーシア 通常,,,
本文,調べてみましょうか…,Let's look it up.,,
アクター設定,ニナ 驚き・動揺,,,
本文,わたしに読めるかな…,I'm not sure I can read it...,,
アクター設定,レミィ 特殊１,,,
本文,これは…\.,This is...\.,,
本文,本だわ,a book.,,
アクター設定,マリー 通常,,,
本文,読書の季節がやってきたね\.,The season for reading is here.\.,,
本文,まぁ\. アタシの場合は通年だけど,Although\c I do that all year round.,,
アクター設定,カイト 通常,,,
本文,どうしようかな…,What should I do?,,
アクター設定,,,,
本文,\>今週の競争ピックアップ！,\>This Week's Race Pics ,,
選択肢の準備,読んでみる,やめておく,Read it.,Skip it.
選択肢の遷移先,0,読んでみる,Read it.,
アクター設定,,,,
本文,今週の競争ピックアップ！,This Week's Race Picks,,
アクター設定,,,,
本文,いよいよ迫った春のグランプリ！,The spring grand prix is here!,,
本文,編集イチ押しの本命馬はこちら！,We have our editor's picks,for the winning horse!,
アクター設定,,,,
本文,葦毛の名馬ホワイトタイガー！,The dapple horse White Tiger!,,
本文,母譲りの白い馬体が砂の大地を駆け抜ける！,With a white body like his mother's\c,he gallops across the sand!,
アクター設定,カイト 驚き・動揺,,,
本文,なんだこれ\.,What's this?\.,,
本文,馬の写真がたくさんあるけど…,There's a lot of pictures,of horses.,
選択肢の遷移先,1,やめておく,Skip it.,
