アクター設定,,,,
本文,魔法の先天属性について,About Inherent Magic Types,,
アクター設定,アーシア 通常,,,
本文,調べてみましょうか…,Let's look it up.,,
アクター設定,ニナ 驚き・動揺,,,
本文,わたしに読めるかな…,I'm not sure I can read it...,,
アクター設定,レミィ 特殊１,,,
本文,これは…\.,This is...\.,,
本文,本だわ,a book.,,
アクター設定,マリー 通常,,,
本文,読書の季節がやってきたね\.,The season for reading is here.\.,,
本文,まぁ\. アタシの場合は通年だけど,Although\c I do that all year round.,,
アクター設定,カイト 通常,,,
本文,どうしようかな…,What should I do?,,
アクター設定,,,,
本文,\>魔法の先天属性について,,,
選択肢の準備,読んでみる,やめておく,Read it.,Skip it.
選択肢の遷移先,0,読んでみる,Read it.,
アクター設定,,,,
本文,魔法の先天属性について,About Inherent Magic Types,,
アクター設定,,,,
本文,魔法は全て炎・雷・氷・白・黒の,Magic is divided into five inherent types:,,
本文,５つ先天属性によって分類されている,Fire\c lightning\c ice\c white\c and black.,,
アクター設定,,,,
本文,魔法は精神に作用して覚醒すると考えられ,Magic is awakened through the spirit\c,,
本文,先天属性にはそれぞれ対応する精神素体がある,with each magic type having,a corresponding spirit figure.,
アクター設定,,,,
本文,現在判明している精神素体は,The spirit figures currently known,,
本文,以下の通りである,are as follows:,,
アクター設定,,,,
本文,炎…調和・激情・理想,Fire: Harmony\c Fury\c Ideals,,
本文,雷…平穏・執着・束縛,Lightning: Tranquility\c Fixation\c Restraint,,
アクター設定,,,,
本文,氷…忍耐・流動・諦念,Ice: Perseverance\c Flow\c ,,
本文,白…正義・節制・破壊,Spiritual Awakening,White: Justice\c Temperance\c Destruction,
アクター設定,,,,
本文,黒…自己犠牲・達成感,Black: Self-Sacrifice\c Sense of Achievement,,
選択肢の遷移先,1,やめておく,Skip it.,
