アクター設定,,,,
本文,すれ違いだよ人生は\|\^,Living Past Each Other\|\^,,
アクター設定,ノエル 通常,,,
本文,もう かなり奥の方まで\.,We're pretty far into\c\.,,
本文,来ちゃったけど,the hideout\c but...,,
アクター設定,ノエル 通常,,,
本文,ぜんぜん見つかんねえな,where the hell are those kids?,,
アクター設定,ニナ 特殊１,,,
本文,…,...,,
アクター設定,ニナ 不信・怒り,,,
本文,本当にこのルートで合ってるの？,Are you sure this is the right route?,,
アクター設定,ノエル 通常,,,
本文,当たり前だろ？,Well\c\. obviously!,,
アクター設定,ニナ 不信・怒り,,,
本文,信用できない…,I can't really trust you...,,
アクター設定,ノエル 通常,,,
本文,あぁ もう\.,Yeesh\c\. how much,,
本文,面倒なやつだな,reassurance do you need?,,
アクター設定,ノエル 通常,,,
本文,先に行って\.,Want me to just go ahead\.,,
本文,見つけてきてやんよ,and find them for you\c\. huh?,,
アクター設定,ノエル 通常,,,
本文,それなら,That oughta,,
本文,文句言えねえだろ！,quiet you down!,,
アクター設定,ニナ 驚き・動揺,,,
本文,ちょっと！,Hey!,,
アクター設定,ニナ 不信・怒り,,,
本文,なんなのよ…アレ,Geez\c what's with her?,,
アクター設定,マリー 通常,,,
本文,（\N[2]も十分\.,(\N[2] went pretty,,
本文, 言い過ぎてると思う件について）,hard herself\c too.),,
アクター設定,マリー 笑顔,,,
本文,（\N[5]くんの意見を頂戴したい！）,(Let's hear what \N[5] has to say!),,
アクター設定,カイト 驚き・動揺,,,
本文,…,...,,
選択肢の準備,言い過ぎてると思う,そんなことより追いかけよう！,I think she said too much.,Let's focus on finding the kids!
選択肢の遷移先,0,言い過ぎてると思う,I think she said too much.,
アクター設定,マリー 通常,,,
本文,おおぅ\.,Wow\c\. \N[5]\c\.,,
本文,\N[5]くん言うようになったね,you've grown a spine!,,
選択肢の遷移先,1,そんなことより追いかけよう！,,
アクター設定,マリー 通常,,,
本文,おおぅ\.,Wow\c\.,,
本文,まったく全体その通りだね！,you're totally right!,,
アクター設定,ニナ 不信・怒り,,,
本文,こそこそと なに話してるんですか！,What are you whispering about?!,,
アクター設定,ニナ 驚き・動揺,,,
本文,今は先を急ぎましょう,We need to hurry ahead!,,
アクター設定,マリー 特殊２,,,
本文,んだね…\^\^,Very true!\^\^,,
アクター設定,マリー 不信・怒り,,,
本文,！,!,,
アクター設定,マリー 不信・怒り,,,
本文,静かに…,Quiet!,,
アクター設定,ニナ 驚き・動揺,,,
本文,今度はなんですか？,What is it now?,,
アクター設定,マリー 不信・怒り,,,
本文,足音 聞こえない？,Can't you hear those footsteps?,,
アクター設定,ニナ 驚き・動揺,,,
本文,えっ？,Huh?,,
アクター設定,ハティ 通常,,,
本文,\N[2]姉ちゃん！,\N[2]!,,
アクター設定,ニナ 笑顔,,,
本文,\N[12]！ \N[13]も！,\N[12]! \N[13]\c too!,,
アクター設定,ニナ 通常,,,
本文,大丈夫だった！？,Are you okay?!,,
本文,怪我してない？,You aren't hurt\c are you?!,,
アクター設定,ハティ 通常,,,
本文,へへっ…\.,Heh heh...\.,,
本文,逃げてきちゃったぜ,We managed to get away!,,
アクター設定,オルフェ 通常,,,
本文,怖かったけど\.,It was really scary\c\.,,
本文,大丈夫だったよ,but we're okay.,,
アクター設定,ニナ 驚き・動揺,,,
本文,二人共 心配したんだから！,We were so worried about you two!,,
アクター設定,ニナ 通常,,,
本文,あれ…？,Huh...?,,
アクター設定,ニナ 通常,,,
本文,\N[12] \N[13],\N[12]\c\. \N[13]...,,
アクター設定,ニナ 通常,,,
本文,逃げるとき\.,When you were running away\c\.,,
本文,誰かとすれ違わなかった？,did you pass by anyone?,,
アクター設定,ハティ 通常,,,
本文,ん…？\.,Hm...?,,
本文,誰とも会ってないよ,No\c\. didn't see anyone.,,
アクター設定,オルフェ 通常,,,
本文,ぼくも\.,Yeah\c\.,,
本文,知らないよ,I didn't see anyone either.,,
アクター設定,マリー 通常,,,
本文,あれ？\.,Huh?,,
本文,おかしいね,That's weird.,,
アクター設定,マリー 通常,,,
本文,さっきまで一緒にいた子が\.,You should have run into,,
本文,いるはずなんだけど…,the girl we were just with...,,
