アクター設定,みんなのおばあさん 通常,
本文,あの孤児院にいるんでしょう？,You live in that orphanage\c don't you?
アクター設定,みんなのおばあさん 通常,
本文,院長の\N[6]さん\.,Do try to help out
本文,いろいろ助けてあげてね,poor \N[6]\c\. would you?
アクター設定,みんなのおばあさん 通常,
本文,あらあら まぁまぁ\.,My\c my\c\.
本文,可愛らしい娘だこと,what an adorable girl!
アクター設定,カイト 通常,
本文,え…？\.　ボクのこと？,Huh...?\. Are you talking about me?
アクター設定,みんなのおばあさん 通常,
本文,あらまぁ 男の子だったの？\.,Oh\c my\c you're a boy?
本文,ごめんなさいね,I'm sorry about that.
アクター設定,カイト 笑顔,
本文,いえ\. 大丈夫です,No\c\. that's fine.
本文,気にしてませんから,I don't mind at all.
