アクター設定,カイト 通常,
本文,ボクは…,I...
アクター設定,ノエル 通常,
本文,うん？,Yeah?
アクター設定,カイト 通常,
本文,学校に転校生として入ったんだ,I transferred to the school.
アクター設定,ノエル 通常,
本文,あぁ \N[5]はたしかに\.,Right\c\. you don't seem
本文,この辺の生まれじゃなさそうだな,like you're from around here.
アクター設定,ノエル 通常,
本文,って よく考えたらおかしいな\.,Now that I think about it...it's weird.\.
アクター設定,ノエル 通常,
本文,なんでまた\.,Why did you enroll\.
本文,あんなクソ高そうな学校に入ったんだ？,in that crazy expensive-looking school?
アクター設定,カイト 不信・怒り,
本文,両親が亡くなって\.,After my parents died\c\.
アクター設定,カイト 不信・怒り,
本文,遺産が余ったからって\.,my grandparents said
本文,祖父母が…,they left me enough money.
アクター設定,ノエル 通常,
本文,なんだそりゃ？\.,What?\.
本文,\N[5]は断らなかったかよ,You didn't say no?
アクター設定,カイト 不信・怒り,
本文,うん…,No.
アクター設定,カイト 不信・怒り,
本文,祖父母は ボクと両親のことを\.,My grandparents didn't think much
本文,良く思ってなかったから,of my parents or me.
アクター設定,カイト 不信・怒り,
本文,居づらくて…,It was difficult being with them.
アクター設定,ノエル 通常,
本文,…,...
アクター設定,ノエル 通常,
本文,ずいぶん ひでぇ話だな,That's pretty awful.
アクター設定,カイト 不信・怒り,
本文,それで この国に来たんだけど,So I came to this country.
アクター設定,カイト 不信・怒り,
本文,なじめなくて…,But I didn't fit in.
アクター設定,カイト 不信・怒り,
本文,…,...
アクター設定,ノエル 通常,
本文,…,...
アクター設定,ノエル 通常,
本文,悪い\. \N[5]\.,Sorry\c\.
本文,変なことを聞いちまった,maybe I shouldn't have asked.
アクター設定,カイト 不信・怒り,
本文,ううん…,It's fine.
アクター設定,ノエル 通常,
本文,あー…\. っと,Uh...\. Okay.
アクター設定,ノエル 通常,
本文,あれだ！ \N[5]！,I've got it!
アクター設定,カイト 驚き・動揺,
本文,…なに！？,What?!
アクター設定,ノエル 通常,
本文,今はこの塔を登るぞ！,We're gonna climb this tower!
アクター設定,カイト 驚き・動揺,
本文,う うん…,Y-Yeah\c\. okay.
アクター設定,ノエル 通常,
本文,よーし 上まで競争だ！,Let's race to the top!
アクター設定,カイト 驚き・動揺,
本文,ちょ ちょっと待ってよ！,What?! Hold on!
