アクター設定,カイト 通常,
本文,\N[3]さん\.,\N[3].\.
本文,聞いてもいいですか？\|\^,Can I ask you something?\|\^
アクター設定,レミィ 通常,
本文,…\|\^,...\|\^
アクター設定,カイト 通常,
本文,\N[3]さんは\.,You oversee\.
本文,街にいる 魔法使いを\|\^,the wizards in the city.\|\^
アクター設定,カイト 通常,
本文,監視してるんですよね\|\^,Isn't that right?\|\^
アクター設定,レミィ 通常,
本文,…\|\^,...\|\^
アクター設定,レミィ 通常,
本文,職務の一つね\|\^,That's one of my duties.\|\^
アクター設定,カイト 通常,
本文,だから\.,That's why you\.
本文,巡回してるんですよね\|\^,do your patrols.\|\^
アクター設定,レミィ 通常,
本文,えぇ\|\^,Yes.\|\^
アクター設定,カイト 不信・怒り,
本文,昨日の孤児院も…\|\^,And went to the orphanage yesterday.\|\^
アクター設定,レミィ 通常,
本文,えぇ\|\^,Yes.\|\^
