アクター設定,ニナ 通常,
本文,\N[11]は好きな人いるの？,Do you have a crush on anyone?
アクター設定,リン 通常,
本文,んー…,Hmm...
アクター設定,リン 通常,
本文,わかんないや,I don't know.
アクター設定,リン 通常,
本文,人を好きになったらどうなるの？,What happens when you get a crush?
アクター設定,ニナ 通常,
本文,んー…,Hmm...
アクター設定,ニナ 笑顔,
本文,どうなっちゃうんだろうね？,I'm not sure.
アクター設定,リン 通常,
本文,えぇー\.,What?\.
本文,\N[2]お姉ちゃんもわからないの？,You don't know either?
アクター設定,ニナ 通常,
本文,うーん\.,Hmm.\.
本文,そうかもしれないなぁ,Maybe I don't.
アクター設定,リン 通常,
本文,\N[2]お姉ちゃん…,\N[2].
アクター設定,リン 通常,
本文,好きな人っている？,Do you have a crush on anyone?
アクター設定,ニナ 通常,
本文,んー\.,Hmm.\.
本文,別にいないよ？,I don't think so.
アクター設定,リン 通常,
本文,あれ…\.,Huh?\.
本文,\N[5]お兄ちゃんは？,What about \N[5]?
アクター設定,ニナ 笑顔,
本文,\N[5]はないよ\.,No way.\.
本文,全然 年下だもん,He's too young.
アクター設定,ニナ 通常,
本文,わたし\. 年上のカッコいい人がいいなぁ,I'd like\. someone older and cool.
アクター設定,リン 通常,
本文,そうだったんだぁ！,I see!
