アクター設定,？？？ 笑顔,,
本文,エーテルを配ります\|\^,I'm handing out ether.\|\^,
アクター設定,？？？ 笑顔,,
本文,呼ばれた番号の子はこちらへ…\|\^,Come forward when I call out,your number.\|\^
アクター設定,？？？ 笑顔,,
本文,24…27…39…78…\|\^,24...\. 27...\. 39...\. 78...\|\^,
アクター設定,？？？ 笑顔,,
本文,102…119…187…\|\^,102...\. 119...\. 187...\|\^,
アクター設定,子供Ａ 笑顔,,
本文,ねぇ\.ねぇ\.\|\^,Hey.\.\|\^,
アクター設定,子供Ａ 笑顔,,
本文,呼ばれてるよ！\|\^,They called your number!\|\^,
アクター設定,子供Ａ 笑顔,,
本文,貰いに行かないの？\|\^,Aren't you going to get yours?\|\^,
アクター設定,子供Ａ 笑顔,,
本文,おくすりの時間だよ！\|\^,It's medicine time!\|\^,
アクター設定,？？？ 笑顔,,
本文,202番…\.,Number 202...\.,
本文,202番\|\^,Number 202.\|\^,
アクター設定,子供Ａ 笑顔,,
本文,あたし代わりにもらってくるね！\|\^,I'll go get it for you!\|\^,
