アクター設定,ニナ 通常,,,
本文,失礼します,Excuse me.,,
アクター設定,マリー 笑顔,,,
本文,おぉ よく来たね\.,I'm glad you came\c\.,,
本文,\N[2]くん,\N[2].,,
アクター設定,マリー 通常,,,
本文,何かよう？,You need something?,,
アクター設定,ニナ 驚き・動揺,,,
本文,何かようって…,Do I need something?,,
選択肢の準備,\N[5]のことで,特にないです,I'm here for \N[5].,Not particularly.
選択肢の遷移先,0,\N[5]のことで,I'm here for \N[5].,
アクター設定,マリー 笑顔,,,
本文,それじゃ\.,Okay.\.,,
本文,夜までここで好きにしてていいよ,You can stay here until dark then.,,
アクター設定,ニナ 通常,,,
本文,夜？,Dark?,,
アクター設定,マリー 通常,,,
本文,だって今日は…,That's because...,,
アクター設定,マリー 笑顔,,,
本文,宿直当番だからだよ,I'm on night watch today.,,
選択肢の遷移先,1,特にないです,Not particularly.,
アクター設定,マリー 笑顔,,,
本文,そっかぁ,I see.,,
本文,さようなら～,Bye then.,,
