アクター設定,カイト 通常,
本文,\N[3]さんは料理しないんですか？,You don't cook?
アクター設定,レミィ 通常,
本文,私は…,I...
アクター設定,レミィ 特殊２,
本文,火が苦手だから,I don't like fire.
アクター設定,オルフェ 通常,
本文,火をくべるのって大変だよね,It's hard maintaining a fire.
アクター設定,カイト 通常,
本文,\N[13]はもう慣れた？,Are you used to it?
アクター設定,オルフェ 通常,
本文,うん\.,Yeah\.
本文,ぼく けっこう得意かも,I think I'm good at it.
アクター設定,オルフェ 通常,
本文,\N[5]兄ちゃん！,\N[5]!
アクター設定,カイト 通常,
本文,\N[13] 元気してた？,How have you been?
アクター設定,オルフェ 通常,
本文,うん\.,I've been good.
本文,ぼくはいつも通りだよ,
アクター設定,カイト 通常,
本文,料理はまだ続けているの？,Are you still cooking?
アクター設定,オルフェ 通常,
本文,うん\.,Yeah.\.
本文,この間\. シチューを作ったんだ,I made stew\. the other day.
アクター設定,レミィ 通常,
本文,シチュー…,Stew?
アクター設定,レミィ 通常,
本文,すごいわ\.,Wow.\.
本文,貴方\. 料理できるのね,You can really cook.
アクター設定,オルフェ 通常,
本文,う\. うん…\. まぁね,Y-\.Yeah\c I guess so.
