アクター設定,,,,
本文,卒業論文集,Collected Graduation Essays,,
アクター設定,アーシア 通常,,,
本文,調べてみましょうか…,Let's look it up.,,
アクター設定,ニナ 驚き・動揺,,,
本文,わたしに読めるかな…,I'm not sure I can read it...,,
アクター設定,レミィ 特殊１,,,
本文,これは…\.,This is...\.,,
本文,本だわ,a book.,,
アクター設定,マリー 通常,,,
本文,読書の季節がやってきたね\.,The season for reading is here.\.,,
本文,まぁ\. アタシの場合は通年だけど,Although\c I do that all year round.,,
アクター設定,カイト 通常,,,
本文,どうしようかな…,What should I do?,,
アクター設定,,,,
本文,\>卒業論文集,\>Collected Graduation Essays,,
選択肢の準備,読んでみる,やめておく,Read it.,Skip it.
選択肢の遷移先,0,読んでみる,Read it.,
アクター設定,カイト 不信・怒り,,,
本文,あれ…？,Huh...?,,
アクター設定,カイト 驚き・動揺,,,
本文,この本\.,The book is stuck.,,
本文,奥の方がひっかかって取れないや…,I can't take it out.,,
選択肢の遷移先,1,やめておく,Skip it.,
