アクター設定,ミシェル 驚き・動揺,,
本文,\N[6]さん…\.,\N[6]\c,
本文,これはいったい…？,what is this?,
アクター設定,ソラ 特殊１,,
本文,\N[7]！\. いいところに！\.,\N[7]! Perfect timing!\.,
本文,実は…,Actually...,
アクター設定,マリー 不信・怒り,,
本文,領主だか\.,I don't care if you're some ruler\.,
本文,元軍人だか知らないけどさ…,or former military officer.,
アクター設定,マリー 笑顔,,
本文,くやしかったら\.,If you're feeling bitter about it\c\.,
本文,魔法でアタシを倒してみるがいいさ,then beat me at magic.,
アクター設定,レミィ 通常,,
本文,…,...,
アクター設定,レミィ 通常,,
本文,…,...,
アクター設定,ミシェル 不信・怒り,,
本文,おかしいですね,That's strange.,
アクター設定,ミシェル 不信・怒り,,
本文,今日はマリーの初出勤のはずですが,This should have been your first day of class.,
アクター設定,ミシェル 笑顔,,
本文,もう実践訓練をしてのですね,You're already giving out practical tests?,
アクター設定,ソラ 特殊１,,
本文,そうじゃない！,No!,
アクター設定,ソラ 不信・怒り,,
本文,二人とも\.,How could you two\.,
本文,街中で魔法を使うなって！,use magic in the city?!,
アクター設定,マリー 笑顔,,
本文,でも どうせ\.,It doesn't matter since I'm going to\.,
本文,全部受け止めちゃうから意味ないか！,block all her attacks.,
アクター設定,マリー 笑顔,,
本文,アンタ魔法得意じゃないもんね！,I know you're not really good at magic!,
アクター設定,レミィ 通常,,
本文,…,...,
アクター設定,ミシェル 不信・怒り,,
本文,これは…,Well...,
アクター設定,ミシェル 通常,,
本文,困りましたね,This is a problem.,
アクター設定,ソラ 不信・怒り,,
本文,\N[7]！\.,\N[7]!,
本文,笑い事じゃない！,This isn't funny!,
アクター設定,ミシェル 笑顔,,
本文,そうでしたね\.,You're right.\.,
本文,ゴメンナサイ,I'm sorry.,
アクター設定,ミシェル 通常,,
本文,ですが…,However...,
アクター設定,マリー 笑顔,,
本文,どうしたの？\.,What's the matter?\.,
本文,何もしてこないの？,You're not gonna do anything?,
アクター設定,マリー 笑顔,,
本文,あー\. 違うか！\.,Oh!\. That's not it!\.,
本文,したくても何もできないんだ,You can't\c even if you want to!,
アクター設定,マリー 笑顔,,
本文,まったく魔法使いってさ\.,Wizards can't do anything\.,
本文,\N[6]がいないと何もできないんじゃん,without \N[6]!,
アクター設定,マリー 笑顔,,
本文,役立たず！,You're useless!,
アクター設定,レミィ 通常,,
本文,…,...,
アクター設定,ソラ 特殊１,,
本文,あっ…,Oh...,
アクター設定,マリー 笑顔,,
本文,ひぇぇ！,Eeep!,
アクター設定,マリー 笑顔,,
本文,ちょ\. ちょっと待って！,H-\.Hold on!,
アクター設定,マリー 笑顔,,
本文,う\. 腕決まってるから！\.,Y-\.You got my arm!\.,
本文,放してよ！,Let go!,
アクター設定,レミィ 不信・怒り,,
本文,…,...,
アクター設定,マリー 笑顔,,
本文,ギブ！\. ギブ！,Uncle!\. Uncle!,
アクター設定,レミィ 不信・怒り,,
本文,…,...,
アクター設定,マリー 笑顔,,
本文,\N[6]！\. お姉ちゃん！\.,\N[6]!\. Sis!\.,
本文,見てないで助けてよ！,Don't just stand there,and help me!
アクター設定,ミシェル 通常,,
本文,見事に…\. 決まってますね,She's really got you.,
アクター設定,ソラ 特殊１,,
本文,あぁ…\.もぅ…,Good grief.\.,
アクター設定,ソラ 特殊１,,
本文,\N[3]！\.,\N[3]!\.,
本文,本気出しすぎだぞ\. おまえ！,You should've held back a little!,
アクター設定,ミシェル 不信・怒り,,
本文,そうですよね,That's true.,
アクター設定,ミシェル 不信・怒り,,
本文,\N[3]さんは…,\N[3],
本文,強いですからね,is much stronger,
アクター設定,ミシェル 通常,,
本文,魔法使わない方が,when she doesn't use magic.,
