アクター設定,ニナ 特殊１,
本文,本当だったら\|\^,I know\|\^
アクター設定,ニナ 特殊１,
本文,もっと良いタイミングが\.,there was a probably
本文,あったと思うんだけど\|\^,better timing for this.\|\^
アクター設定,ニナ 特殊１,
本文,\N[5]にずっと…\.,There's something
本文,隠してたことがあるの\|\^,I've been keeping from you.\|\^
アクター設定,カイト 通常,
本文,うん\|\^,Yeah.\|\^
アクター設定,ニナ 通常,
本文,これ…\|\^,Here.\|\^
アクター設定,カイト 通常,
本文,ピアノの調律工具？\|\^,A piano tuner?\|\^
アクター設定,ニナ 特殊１,
本文,持ち手の部分\.,Look at the handle.\|\^
本文,よく見て\|\^,
アクター設定,カイト 驚き・動揺,
本文,あれ？\.,Huh?\.
本文,ボクの名前が入ってる\|\^,That's my name.\|\^
アクター設定,カイト 通常,
本文,けど 初めて見るよ\|\^,But I've never seen this before.\|\^
アクター設定,カイト 通常,
本文,こんなに立派なモノ\.,I don't remember buying something\.
本文,買った覚えないし\|\^,so impressive.
