アクター設定,,,,
本文,\N[5]くんの好みは？,What do you like\c \N[5]?,,
アクター設定,マリー 通常,,,
本文,ねぇっ！\.,Hey\c\.,,
本文,\N[5]くん！,\N[5]!,,
アクター設定,マリー 笑顔,,,
本文,\N[5]くんは コーヒー好きかね？,Do you like coffee?,,
アクター設定,カイト 通常,,,
本文,ボクは…,I…,,
選択肢の準備,好きだよ,苦いのはちょっと……,Like it.,It's too bitter.
選択肢の遷移先,0,好きだよ,Like it.,
アクター設定,マリー 通常,,,
本文,おぉ！\.,Oh!\.,,
本文,いいねぇいいねぇ,Nice\c nice.,,
アクター設定,マリー 通常,,,
本文,夜も更けちゃったけど\.,I know it's late\c\.,,
本文,用事片付いたら一緒に飲もうよ,but we can drink some together after we're done here.,,
選択肢の遷移先,1,苦いのはちょっと……,It's too bitter.,
アクター設定,マリー 通常,,,
本文,まぁ \.お子様にコーヒーは早いよね,Well\c I suppose coffee isn't for kids.,,
アクター設定,マリー 通常,,,
本文,\N[5]くんには\.,Maybe this was,,
本文,ちょーっと ビターな話題だったかな？,a bitter experience for you.,,
