アクター設定,ノエル 通常
本文,こいつ…,
アクター設定,ノエル 通常
本文,こないだ市場で\.,
本文,騒ぎを起こしたやつだ！,
アクター設定,ノエル 通常
本文,追い詰めたぜ！\.,
本文,観念しろよ,
アクター設定,怪しい男 通常
本文,ちっ！\. 市場の奴らから\.,
本文,逃げ出してきたってのに…,
アクター設定,怪しい男 通常
本文,ガキどもが\.,
本文,小賢しいマネしやがって…,
アクター設定,マリー 不信・怒り
本文,おとなしく\.,
本文,観念した方が良いと思うな,
アクター設定,怪しい男 通常
本文,こうなったら…,
アクター設定,ノエル 通常
本文,何 飲んでんだよ\.,
アクター設定,怪しい男 通常
本文,…,
アクター設定,ノエル 通常
本文,おい 聞いてんのかよ！？,
アクター設定,怪しい男 通常
本文,…！,
アクター設定,マリー 驚き・動揺
本文,あれって…\.,
本文,もしかして？,
アクター設定,マリー 驚き・動揺
本文,\N[14]くん！\.,
本文,その男から 離れてっ！,
アクター設定,カイト 苦痛・ダメージ
本文,えっ…？,
アクター設定,怪しい男 通常
本文,うるせえ！\.,
本文,これでも食らえっ！,
アクター設定,ノエル 通常
本文,あの男…\.,
本文,魔法を使いやがった！？,
アクター設定,怪しい男 通常
本文,ちっ…！\.,
本文,直撃しなかったか,
アクター設定,怪しい男 通常
本文,次は…\.,
本文,はずさねぇ！,
アクター設定,カイト 特殊１
本文,\N[14]！\.,
本文,危ないっ！,
アクター設定,ノエル 通常
本文,えっ…？,
アクター設定,マリー 驚き・動揺
本文,\N[5]くん！\. 待って！\.,
本文,ここでその力は…！,
アクター設定,ノエル 通常
本文,次から次へと\.,
本文,なんなんだよ…,
アクター設定,ノエル 通常
本文,すげぇ…\.,
本文,…頭いたい,
アクター設定,マリー 攻撃時
本文,…これ\.,
本文,学校で起きたのと同じやつ…,
アクター設定,マリー 不信・怒り
本文,…\.,
アクター設定,マリー 不信・怒り
本文,…ダメだ\.,
本文,アタシが…なんとかしないと,
アクター設定,マリー 不信・怒り
本文,…,
アクター設定,怪しい男 通常
本文,何の騒ぎだ！？,
アクター設定,怪しい男 通常
本文,うわぁ！\.,
アクター設定,怪しい男 通常
本文,マモノが…！\.,
本文,街中に！？,
アクター設定,怪しい男 通常
本文,ひぇぇ ころされる！\.,
本文,逃げろっ！,
アクター設定,怪しい男 通常
本文,誰か倒れてるけど\.,
本文,大丈夫なのかよ！？,
アクター設定,マリー 不信・怒り
本文,…,
アクター設定,マリー 不信・怒り
本文,…,
アクター設定,マリー 不信・怒り
本文,なにこの…,
アクター設定,マリー 不信・怒り
本文,しょうもない状況,
アクター設定,マリー 不信・怒り
本文,\N[5]くんさ…,
アクター設定,マリー 不信・怒り
本文,勝手に想定外の行動\.,
本文,してんじゃねーよ,
アクター設定,マリー 不信・怒り
本文,外野もうるさいし,
アクター設定,マリー 不信・怒り
本文,めんどうくさいけど…\.,
本文,誤魔化すしかないか,
アクター設定,マリー 驚き・動揺
本文,あーあ,
アクター設定,マリー 不信・怒り
本文,全然 思い通りに\.,
本文,進んでくれないなぁ,
アクター設定,マリー 不信・怒り
本文,アタシの人生,
アクター設定,マリー 不信・怒り
本文,もう,
アクター設定,マリー 不信・怒り
本文,サイアク,
