アクター設定,アーシア 通常
本文,どうもどうも,
アクター設定,怪しい女 通常
本文,おやぁ？\.,
本文,\N[1]じゃない,
アクター設定,怪しい女 通常
本文,生きてたんだ,
本文,久しぶり,
アクター設定,アーシア 笑顔
本文,まぁ 色々ありまして,
アクター設定,アーシア 通常
本文,景気はどうっすか？,
アクター設定,怪しい女 通常
本文,ふふ…\.,
本文,調子いいのよ,
アクター設定,アーシア 笑顔
本文,ほぅ…？,
アクター設定,怪しい女 通常
本文,ここだけの話…,
アクター設定,怪しい女 通常
本文,年齢問わず\.,
本文,軒並み高騰してるのよ,
アクター設定,アーシア 通常
本文,なんの話っすか？,
アクター設定,怪しい女 通常
本文,みんな\.,
本文,従順な子供が欲しいみたいね,
アクター設定,アーシア 通常
本文,あー…\.,
本文,奴隷っすか,
アクター設定,アーシア 笑顔
本文,相変わらず,
本文,悪いことやってますなぁ,
アクター設定,怪しい女 通常
本文,お互い様でしょう？,
アクター設定,怪しい女 通常
本文,そっちは？,
アクター設定,アーシア 勝利・喜び
本文,こっちは全然っすよ,
アクター設定,アーシア 通常
本文,あー\. あまーいシロップの相場って\.,
本文,どんなもんです？,
アクター設定,怪しい女 通常
本文,今の相場は…\.,
本文,こんな感じかなぁ,
アクター設定,アーシア 驚き・動揺
本文,うっへぇ また高くなってる！,
アクター設定,怪しい女 通常
本文,入手困難になってきてるから\.,
本文,まだまだ 高騰するかもよ,
アクター設定,アーシア 不信・怒り
本文,そうっすか…,
アクター設定,怪しい女 通常
本文,っていうか,
本文,まだ 魔法使ってんの？,
アクター設定,怪しい女 通常
本文,さっさと捨てた方が,
本文,楽じゃない？,
アクター設定,怪しい女 通常
本文,人間やめたくないし,
アクター設定,アーシア 笑顔
本文,そうできれば,
本文,いいんですけどね,
