アクター設定,
本文,漁夫の利を得たり\|\^,
アクター設定,マリー 通常
本文,しっかし寂しくなったねぇ\.,
本文,こないだは 大集団だったのに,
アクター設定,マリー 通常
本文,アタシら,
本文,二人だけって…,
アクター設定,ニナ 特殊１
本文,\N[3]さんはやっぱり…,
アクター設定,マリー 笑顔
本文,遭難してから,
本文,ずっと 行方不明なんでしょ,
アクター設定,マリー 笑顔
本文,もう絶望的じゃん！,
アクター設定,ニナ 特殊１
本文,\N[5]は そのことにも,
本文,責任を感じてるんだと…,
アクター設定,マリー 通常
本文,うーん…,
アクター設定,マリー 通常
本文,あの女は自己犠牲の,
本文,つもりかもしれないけど,
アクター設定,マリー 不信・怒り
本文,助けられる方の気持ちも\.,
本文,少しは考えてほしいよね,
アクター設定,マリー 笑顔
本文,ねぇ？,
アクター設定,ニナ 不信・怒り
本文,わたしは\.,
本文,そうは思いませんけど,
アクター設定,マリー 通常
本文,んー…？,
アクター設定,マリー 笑顔
本文,\N[2]くんは,
本文,\N[14]もあの女もいなくなって,
アクター設定,マリー 笑顔
本文,\N[5]くんが傷ついている,
本文,今がチャンス！,
アクター設定,マリー 通常
本文,って\. 思ってるんじゃないの？,
アクター設定,ニナ 驚き・動揺
本文,…！,
アクター設定,ニナ 驚き・動揺
本文,そんなこと 思ってないです！,
アクター設定,マリー 通常
本文,ふーん…\.,
本文,そうなんだぁ,
アクター設定,ニナ 特殊１
本文,思ってたとしても…\.,
本文,不謹慎すぎます,
アクター設定,マリー 不信・怒り
本文,つまんないの,
アクター設定,ニナ 特殊１
本文,別に わたし\.,
本文,そういうつもりじゃ…,
