アクター設定,
本文,解決！\N[4]ちゃんねる\|\^,
アクター設定,マリー 通常
本文,とまぁ…,
本文,尾行してきたわけですが,
アクター設定,カイト 通常
本文,見張りがいますね…,
アクター設定,マリー 笑顔
本文,さぁ ここで\N[5]くんに\.,
本文,クエスチョン！,
アクター設定,マリー 特殊１
本文,デデーン,
アクター設定,マリー 笑顔
本文,こういうとき\.,
本文,どうすればいいでしょうか！,
アクター設定,カイト 驚き・動揺
本文,え…？,
アクター設定,マリー 通常
本文,はい 制限時間\.,
本文,残り５秒！ はやく はやく！,
アクター設定,カイト 不信・怒り
本文,入り口以外のところから,
本文,入れる場所を探す,
アクター設定,カイト 不信・怒り
本文,でしょうか？,
アクター設定,マリー 特殊１
本文,ブブー！,
本文,ざーんねん…,
アクター設定,マリー 通常
本文,完全にハズレてないけど,
本文,全然かすってもないね,
アクター設定,カイト 驚き・動揺
本文,それって全然,
本文,当たってないんじゃ…,
アクター設定,マリー 通常
本文,前置きはこれぐらいにして,
アクター設定,マリー 通常
本文,正解は…,
アクター設定,マリー 通常
本文,こんな感じかなぁ,
アクター設定,カイト 通常
本文,…？\.,
本文,\N[4]先生がいない？,
アクター設定,マリー 笑顔
本文,どうかね\.,
本文,\N[5]くん,
アクター設定,マリー 笑顔
本文,残念\.,
本文,こっちでした,
アクター設定,カイト 驚き・動揺
本文,あれ…？,
アクター設定,マリー 通常
本文,…とまぁ\.,
本文,こんな具合にね,
アクター設定,カイト 驚き・動揺
本文,もしかして,
本文,姿を消してた？,
アクター設定,マリー 特殊１
本文,ピンポンポンポーン！,
アクター設定,マリー 通常
本文,あのね \N[5]くん\|\^,
アクター設定,マリー 通常
本文,常識でものを考えちゃいけないの,
アクター設定,マリー 通常
本文,魔法さえあれば\.,
本文,何でもできるし,
アクター設定,マリー 通常
本文,何にでもなれるってね,
アクター設定,マリー 笑顔
本文,昔 尊敬してた魔法使いが,
本文,よく言ってたんだけど,
アクター設定,マリー 笑顔
本文,まぁ 答えがないなら\.,
本文,自分で作っちゃえば良いじゃん,
アクター設定,マリー 通常
本文,って わけだ,
アクター設定,カイト 不信・怒り
本文,…少し違うような,
アクター設定,マリー 笑顔
本文,まぁ 細かいことは\.,
本文,気にしないでシャーラップだよ,
アクター設定,マリー 通常
本文,さっさと\.,
本文,あの女を助けて,
アクター設定,マリー 笑顔
本文,帰ってコーヒー牛乳飲もうっ！,
