アクター設定,カイト 通常
本文,今度はボクが,
本文,\N[12]のパーティしないといけないね,
アクター設定,ハティ 通常
本文,いいって…\.,
本文,\N[2]姉にも迷惑だろ,
アクター設定,ハティ 通常
本文,あれ…\.,
本文,そういえば,
アクター設定,ハティ 通常
本文,卒業パーティから戻った後\.,
本文,二人で部屋にいたけど,
アクター設定,ハティ 通常
本文,何してたんだ？,
アクター設定,カイト 特殊１
本文,べ\. 別に何も…！？,
アクター設定,ハティ 通常
本文,ふーん\.,
本文,そうなんだ,
アクター設定,ハティ 通常
本文,オレが里親に行くことで\.,
本文,ここにもいくらか入るんだしさ,
アクター設定,ハティ 通常
本文,わがまま言っても仕方ないだろ？,
アクター設定,カイト 通常
本文,\N[12]は偉いね\.,
本文,敵わないや…,
アクター設定,ハティ 通常
本文,よせって…,
アクター設定,ハティ 通常
本文,まぁ…\.\N[5]も頑張れよ,
アクター設定,カイト 笑顔
本文,うん！,
アクター設定,ハティ 通常
本文,よぅ！\.\N[5]！,
アクター設定,カイト 不信・怒り
本文,\N[12]…,
アクター設定,ハティ 通常
本文,なんだよ…,
本文,辛気臭い顔するなって！,
アクター設定,カイト 通常
本文,うん…,
本文,ごめんね,
アクター設定,ハティ 通常
本文,あのなぁ…\.,
本文,二度と会えなくなるわけじゃないんだぞ,
アクター設定,カイト 通常
本文,それは…\.,
本文,わかってるんだけど,
アクター設定,カイト 通常
本文,\N[12]は\N[6]さんと離れたくないんだよね？,
アクター設定,ハティ 通常
本文,そ\. それは…,
アクター設定,ハティ 通常
本文,言うなよ…\.,
本文,悲しくなるだろ？,
