アクター設定,アーシア 通常
本文,嫌ですねぇ,
アクター設定,アーシア 通常
本文,約束通り,
本文,ブツは渡したじゃないですか,
アクター設定,密談相手 通常
本文,あんなことになるなんて\.,
本文,聞いてないぞ！,
アクター設定,アーシア 笑顔
本文,知ったこっちゃねえですよ,
アクター設定,アーシア 笑顔
本文,そっちが勝手に 使い方\.,
本文,間違えたんじゃないです？,
アクター設定,密談相手 通常
本文,だからって…\.,
本文,これじゃ中毒になっちまうだろ！,
アクター設定,アーシア 笑顔
本文,そんなの\.,
本文,自業自得じゃないですか,
アクター設定,密談相手 通常
本文,んだと！,
アクター設定,密談相手 通常
本文,昔のよしみだからって\.,
本文,調子に乗りやがって！,
アクター設定,ニナ 驚き・動揺
本文,んもぅ…\.,
本文,何してるのよ あの人は…,
アクター設定,カイト 不信・怒り
本文,助けようよ,
アクター設定,ニナ 驚き・動揺
本文,えっ！？\.,
本文,ちょっと待って！,
アクター設定,ニナ 驚き・動揺
本文,後ろっ！？,
アクター設定,カイト 特殊１
本文,え…？,
アクター設定,ニナ 通常
本文,\N[5]！？,
アクター設定,アーシア 笑顔
本文,やるっていうなら\.,
本文,受けて立ちますよ,
アクター設定,アーシア 笑顔
本文,この場合の\.やるは\.,
本文,絞めるってことですよ？,
アクター設定,密談相手 通常
本文,この尼…,
アクター設定,アーシア 笑顔
本文,まぁ あたしに歯向かって\.,
本文,ただで済むとは思えませんけどねぇ,
アクター設定,アーシア 笑顔
本文,あたしの方が\.,
本文,ずーっと強かったですし,
アクター設定,密談相手 通常
本文,くそぅ…,
アクター設定,密談相手 通常
本文,と 怯むとでも思ったか？,
アクター設定,アーシア 笑顔
本文,んー？,
アクター設定,アーシア 笑顔
本文,強がっちゃって\.,
本文,痛い目見ますよ？,
アクター設定,密談相手 通常
本文,痛い目見るのは…,
アクター設定,密談相手 通常
本文,そっちの方だぜ！,
アクター設定,密談相手 通常
本文,おい つれてこい！,
アクター設定,アーシア 驚き・動揺
本文,…？,
アクター設定,ニナ 驚き・動揺
本文,ちょっと！\.,
本文,離してよっ！,
アクター設定,手下 通常
本文,うるせえ！\.,
本文,この女 コソコソしやがって,
アクター設定,アーシア 驚き・動揺
本文,\N[2]さん…\.,
本文,\N[5]まで！？,
アクター設定,アーシア 不信・怒り
本文,この卑怯者！,
アクター設定,密談相手 通常
本文,身辺調査しといて\.,
本文,正解だったぜ,
アクター設定,密談相手 通常
本文,どうするよ！？\.,
本文,この二人がどうなっても,
アクター設定,アーシア 通常
本文,はぁーあ…,
アクター設定,アーシア 通常
本文,あーあー 皆まで言わんでも\.,
本文,わかりましたよ,
アクター設定,アーシア 通常
本文,大人しく\.,
本文,捕まればいいんでしょ,
アクター設定,密談相手 通常
本文,話が早くて助かるぜ,
アクター設定,密談相手 通常
本文,おい やっちまえ！,
アクター設定,アーシア 悲しみ・焦り
本文,えーっ！？\.,
本文,痛いのはご勘弁を！,
アクター設定,アーシア 通常
本文,んぎゃ！,
アクター設定,ニナ 通常
本文,\N[1]さん！？,
アクター設定,密談相手 通常
本文,おっと 悪いがあんたも\.,
本文,黙っててもらおうか,
アクター設定,ニナ 驚き・動揺
本文,そんな…！？,
