アクター設定,
本文,季節外れの雪だった,
アクター設定,ソラ 通常
本文,\N[3]\.\.,
本文,生きてる？,
アクター設定,
本文,頬をさすような寒い夜で,
アクター設定,レミィ 通常
本文,えぇ…,
アクター設定,レミィ 通常
本文,この雪…\.,
本文,おぞましいわ,
アクター設定,
本文,静かに包み込むように降り出した,
アクター設定,ミシェル 通常
本文,\N[6]さん！？,
アクター設定,ミシェル 通常
本文,良かった…\.,
本文,ご無事で,
アクター設定,ソラ 通常
本文,\N[7]？\.,
本文,どうしてここに！？,
アクター設定,ミシェル 通常
本文,街が…\.,
本文,大変なんです！,
アクター設定,ミシェル 通常
本文,昨夜の爆発音に\.,
本文,この雪で…,
アクター設定,ミシェル 通常
本文,皆さん\.,
本文,動揺しています！,
アクター設定,ソラ 通常
本文,慌てるんじゃない\.,
本文,\N[7],
アクター設定,ミシェル 通常
本文,はい…\.,
本文,ごめんなさい,
アクター設定,ソラ 通常
本文,とにかく急いで戻るよ,
アクター設定,レミィ 通常
本文,えぇ…,
アクター設定,
本文,月明りが照らすシルエットはまるで,
アクター設定,
本文,黒い雪のようだった,
