アクター設定,アーシア 通常
本文,にっしし～,
アクター設定,アーシア 笑顔
本文,よくわからんブツだったけど\.,
本文,いい値段で売れたぜ！,
アクター設定,カイト 通常
本文,\N[2]は住み込みで,
本文,お店で働いてるんだね\|\.\^,
アクター設定,ニナ 通常
本文,うん \.,
本文,\N[5]も今度あそびにきてよ\|\.\^,
アクター設定,アーシア 通常
本文,さて この辺で…\. ,
本文,ズラかるとしますかっ！\.\.\^,
アクター設定,アーシア 苦痛・ダメージ
本文,んぎゃ！,
アクター設定,ニナ 苦痛・ダメージ
本文,いたっ！,
アクター設定,カイト 特殊１
本文,だ だいじょうぶ！？,
アクター設定,ニナ 悲しみ・焦り
本文,んー…\.,
本文,だいじょぶだよぅ…,
アクター設定,アーシア 不信・怒り
本文,あぶないなぁ\.,
本文,急にぶつかってきて,
アクター設定,カイト 通常
本文,\N[2]…？,
アクター設定,ニナ 不信・怒り
本文,あなたこそ…！,
アクター設定,ニナ 不信・怒り
本文,急にぶつかってきて\.,
本文,前見てなかったですよね？,
アクター設定,アーシア 不信・怒り
本文,んん… なにさ\.,
本文,そっちこそ よそ見してたんじゃない？,
アクター設定,ニナ 不信・怒り
本文,急にぶつかってきて！\.,
本文,よそ見してましたよね？,
アクター設定,アーシア 驚き・動揺
本文,え\. えぇ…！？,
アクター設定,ニナ 不信・怒り
本文,前見てなかったですよね？,
アクター設定,アーシア 悲しみ・焦り
本文,あー はぁ…\.,
本文,見てなかったかもなぁ…,
アクター設定,アーシア 驚き・動揺
本文,って！\.,
本文,そんなに怒ること？,
アクター設定,アーシア 驚き・動揺
本文,す…,
アクター設定,アーシア 悲しみ・焦り
本文,すんませんでしたっ！,
アクター設定,ニナ 通常
本文,\N[5]はだいじょうぶ？\.,
本文,怪我してない？,
アクター設定,カイト 通常
本文,ボクは問題ないよ\.,
本文,だけど…,
アクター設定,ニナ 笑顔
本文,ん？\. だけど何かな？,
アクター設定,カイト 特殊１
本文,いや…\. なんでもないよ\.,
本文,早く市場に行こうよ,
アクター設定,ニナ 通常
本文,うん！ そうだね！,
