アクター設定,ニナ 通常
本文,今はとにかく\.,
本文,脱出しないとだね…,
アクター設定,カイト 通常
本文,\N[2]は あの時\.,
本文,洞窟に残ってたんだよね,
アクター設定,ニナ 驚き・動揺
本文,えっ！？\.,
本文,…っと,
アクター設定,ニナ 通常
本文,あの時は… ほら\.,
本文,孤児院のみんなは助かったけど,
アクター設定,ニナ 驚き・動揺
本文,他にもさらわれた人がいないか確認してたから,
アクター設定,カイト 驚き・動揺
本文,他に捕まってる人がいたの！？,
アクター設定,ニナ 特殊１
本文,いや\. いなかったけど…,
アクター設定,ニナ 通常
本文,その後\.,
本文,街に戻ったんだけど,
アクター設定,ニナ 通常
本文,もう\. 騒ぎが終わってたから,
アクター設定,カイト 通常
本文,そっか…,
アクター設定,ニナ 通常
本文,ごめんね \N[5]\.,
本文,力になれなくって,
アクター設定,カイト 通常
本文,どうやって脱出したらいいんだろう,
アクター設定,ニナ 驚き・動揺
本文,\N[5] よく冷静でいられるね,
アクター設定,カイト 通常
本文,う \.うん…,
アクター設定,カイト 通常
本文,魔法使えるようになって\.,
本文,少し自分に自信がついたんだと思う,
アクター設定,ニナ 通常
本文,ふーん… \.そっか,
アクター設定,カイト 不信・怒り
本文,あ… ごめん\.,
本文,\N[2]を巻き込んじゃって,
アクター設定,ニナ 不信・怒り
本文,んもぅ…\.,
本文,謝るのはなしだって,
アクター設定,カイト 通常
本文,\N[2]は大丈夫？,
アクター設定,ニナ 通常
本文,まぁ なんとかね,
アクター設定,ニナ 通常
本文,こんなところで\.,
本文,へばっててもしょうがないもん,
アクター設定,ニナ 通常
本文,じゃないと\.,
本文,\N[14]さんも 見つけられないしね！,
