アクター設定,緊張しい魔法使い 通常
本文,\N[5]さんも,
本文,気を付けてくださいね,
アクター設定,緊張しい魔法使い 通常
本文,もう自分一人の\.,
本文,身体ではないんですから！,
アクター設定,カイト 笑顔
本文,はい ありがとうございます,
アクター設定,緊張しい魔法使い 通常
本文,え\. えへへ…,
アクター設定,カイト 通常
本文,そのエーテルドリンクというのは…？,
アクター設定,緊張しい魔法使い 通常
本文,あ！\.,
本文,すいません,
アクター設定,緊張しい魔法使い 通常
本文,その薬はですね,
アクター設定,緊張しい魔法使い 通常
本文,不足した魔力を補う\.,
本文,カンフル剤です,
アクター設定,カイト 通常
本文,それなら\.,
本文,役に立つものでは？,
アクター設定,緊張しい魔法使い 通常
本文,いえ これは効果は良いですが\.,
本文,依存がとても強く…,
アクター設定,緊張しい魔法使い 通常
本文,非常に身体への負担が,
本文,大きいため 禁止されているんですよ,
アクター設定,カイト 通常
本文,へぇ…,
本文,知らなかった,
アクター設定,緊張しい魔法使い 通常
本文,でも おかしいです,
アクター設定,緊張しい魔法使い 通常
本文,魔法使いにしか,
本文,需要がないはずなのに,
アクター設定,緊張しい魔法使い 通常
本文,どうして,
本文,こんなものが市場に…？,
アクター設定,緊張しい魔法使い 通常
本文,\N[5]さん\.,
本文,エーテルドリンクと云うものをご存じですか？,
アクター設定,カイト 通常
本文,エーテルドリンク…？,
アクター設定,緊張しい魔法使い 通常
本文,市場で怪しい人がいたので\.,
本文,問いただしたんです,
アクター設定,緊張しい魔法使い 通常
本文,そしたら 禁止薬物の\.,
本文,エーテルドリンクを取引してたんで,
アクター設定,緊張しい魔法使い 通常
本文,押収しました！,
アクター設定,カイト 笑顔
本文,それは すごいですね,
アクター設定,緊張しい魔法使い 通常
本文,あの…！,
アクター設定,緊張しい魔法使い 通常
本文,\N[5]さん\.,
本文,\N[3]さんのお客人だったんですね！,
アクター設定,緊張しい魔法使い 通常
本文,そんなこととは\.,
本文,つゆしらず,
アクター設定,緊張しい魔法使い 通常
本文,申し訳ありませんでした！,
アクター設定,カイト 笑顔
本文,いえ 全然気にしてないですよ,
アクター設定,緊張しい魔法使い 通常
本文,そうですか,
本文,良かったです,
