アクター設定,
本文,世の中の偏見ってやつは\|\^,
アクター設定,マリー 通常
本文,\N[5]くんの魔法も\.,
本文,だいぶ様になってきたね,
アクター設定,ノエル 通常
本文,なぁ アタシにも,
本文,魔法教えてくれよ～,
アクター設定,マリー 通常
本文,おぉ キミ珍しいね\.,
本文,あれだけ世間的に嫌われてるのに,
アクター設定,ノエル 通常
本文,魔法使いが\.,
本文,マモノになる\.って噂のことか？,
アクター設定,マリー 笑顔
本文,そう まさにそれ,
アクター設定,ノエル 通常
本文,知ったこっちゃないよ\.,
本文,実際に見たことねえし,
アクター設定,ノエル 通常
本文,使えたら便利そうじゃん,
アクター設定,マリー 通常
本文,なかなか見どころあるじゃん,
アクター設定,マリー 通常
本文,でも 魔法って素養だから\.,
本文,使えない人は絶対使えないんだよ,
アクター設定,ノエル 通常
本文,なんだよ…,
本文,つまんないな,
アクター設定,ノエル 通常
本文,誰でも魔法が使えるようになる薬\.,
本文,とか ないのかよ？,
アクター設定,マリー 笑顔
本文,んー\.,
本文,キミは裏の世界に詳しいようだからさ,
アクター設定,マリー 通常
本文,自分で探してみたまへ,
アクター設定,マリー 特殊２
本文,もしかしたら\.,
本文,あるかもしれないよ,
アクター設定,ノエル 通常
本文,それは…\.,
本文,冗談だよな？,
アクター設定,マリー 通常
本文,ふっふっふ\.,
本文,さぁ どうだろうねぇ…,
アクター設定,ノエル 通常
本文,（コイツ本当に…\.,
本文,　\N[5]が通ってる学校の先生だよな？）,
