アクター設定,ものぐさ魔法使い 通常
本文,あー\. 北に遠征には…\.,
本文,行きたくないっス！,
アクター設定,ものぐさ魔法使い 通常
本文,君くん\.,
本文,黒い雪の夜のこと覚えてる？,
アクター設定,カイト 通常
本文,ボクは\.,
本文,当時 離れた場所にいたので,
アクター設定,ものぐさ魔法使い 通常
本文,そうっスか,
アクター設定,ものぐさ魔法使い 通常
本文,わたし 黒い雪の夜に\.,
本文,遭ってるんスよ,
アクター設定,ものぐさ魔法使い 通常
本文,とっても寒かったのに,
アクター設定,ものぐさ魔法使い 通常
本文,みんな 妙に高揚した\.,
本文,気分になって…,
アクター設定,ものぐさ魔法使い 通常
本文,あー\.,
本文,行きたくないっス！,
アクター設定,ものぐさ魔法使い 通常
本文,君くん…,
アクター設定,カイト 通常
本文,どうしたんです？\.,
本文,元気なさそうですけど,
アクター設定,ものぐさ魔法使い 通常
本文,北方に遠征に行くことに,
本文,なったんスよ,
アクター設定,ものぐさ魔法使い 通常
本文,北の方って\.,
本文,行きたくないんスよねぇ,
