アクター設定,ノエル 通常
本文,\N[5]！\.,
本文,ちょっとストップ,
アクター設定,ノエル 通常
本文,おい あれ見てみろよ,
アクター設定,レミィ 通常
本文,学校のマモノは\.,
本文,ここで発生したと思われるわ,
アクター設定,レミィ 通常
本文,各自 速やかに駆除するように,
アクター設定,ものぐさ魔法使い 通常
本文,はい,
アクター設定,お姉さん魔法使い 通常
本文,了解であります,
アクター設定,ノエル 通常
本文,今のやつら,
本文,魔法使いだな,
アクター設定,ノエル 通常
本文,何してんだ？\.,
本文,こんなところで,
アクター設定,カイト 通常
本文,（孤児院に案内した人だ…）,
アクター設定,ノエル 通常
本文,なぁ聞いてるか \N[5]！,
アクター設定,カイト 驚き・動揺
本文,あ\. ごめん…,
アクター設定,ノエル 通常
本文,あたしも魔法使えたらなぁ,
アクター設定,カイト 不信・怒り
本文,\N[14]は魔法に抵抗ないの？,
アクター設定,ノエル 通常
本文,ん？\.,
本文,あの噂のことか？,
アクター設定,ノエル 通常
本文,魔法使いが,
本文,マモノになっちまうってやつ\.,
アクター設定,カイト 不信・怒り
本文,うん,
アクター設定,ノエル 通常
本文,そんなの\.,
本文,ただの噂じゃねえか,
アクター設定,ノエル 通常
本文,誰かが魔法使いを\.,
本文,目の敵にしてるんだろ,
アクター設定,カイト 驚き・動揺
本文,え…そうなの？,
アクター設定,ノエル 通常
本文,よく知らないけど,
アクター設定,ノエル 通常
本文,魔法使いをたくさん集めて\.,
本文,徒党を組んだらさ,
アクター設定,ノエル 通常
本文,この国なんて\.,
本文,簡単にのっとれそうじゃんか,
アクター設定,カイト 通常
本文,そういうもんかな…,
アクター設定,ノエル 通常
本文,実際 戦争はじまる前は\.,
本文,魔法使いが偉かったんだぜ,
アクター設定,ノエル 通常
本文,そうならないように\.,
本文,誰かが噂を広めたんだろうよ,
アクター設定,ノエル 通常
本文,\N[5]は学校行ってるのに\.,
本文,そんなことも知らないのかよ,
アクター設定,カイト 不信・怒り
本文,また ひどいこと言う…\.,
本文,習わないよ そんなこと,
アクター設定,ノエル 通常
本文,あ～あ\. 魔法使いカッコいいよなぁ\.,
本文,あたしも使えたらなぁ,
アクター設定,ノエル 通常
本文,魔法使えたら\.,
本文,もっと稼ぎの良い仕事できそうなんだよな,
アクター設定,カイト 通常
本文,どうせ ロクでもない仕事でしょ,
アクター設定,ノエル 通常
本文,っはは 当たり前じゃん\.,
本文,じゃなきゃ稼げねえだろ,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,ノエル 通常
本文,さて…,
アクター設定,ノエル 通常
本文,もうちょっと先に進んでみようぜ,
