アクター設定,カイト 通常
本文,でも なぜでしょう…？,
アクター設定,カイト 通常
本文,\N[3]さん\.,
本文,マモノと戦うときは接近戦しないですね,
アクター設定,お姉さん魔法使い 通常
本文,うーん\.,
本文,言われてみれば…,
アクター設定,お姉さん魔法使い 通常
本文,「魔法使い」だから？,
アクター設定,カイト 通常
本文,というと…？,
アクター設定,お姉さん魔法使い 通常
本文,うーん…,
アクター設定,お姉さん魔法使い 通常
本文,ごめんね,
アクター設定,お姉さん魔法使い 通常
本文,自分でも言ってて\.,
本文,よくわからなかった,
アクター設定,カイト 笑顔
本文,でも\.,
本文,なんとなく わかります,
アクター設定,お姉さん魔法使い 通常
本文,\N[3]さんと行動を共にしててさ,
アクター設定,お姉さん魔法使い 通常
本文,窮屈に思ったことはない？,
アクター設定,カイト 笑顔
本文,いえ\.,
本文,そんなことないですよ,
アクター設定,お姉さん魔法使い 通常
本文,それはよかった,
アクター設定,お姉さん魔法使い 通常
本文,\N[3]さん\.,
本文,誤解されやすいからさ,
アクター設定,お姉さん魔法使い 通常
本文,あ！\.,
本文,でも…,
アクター設定,お姉さん魔法使い 通常
本文,怒らせることだけは\.,
本文,辞めておいた方がいいよ,
アクター設定,お姉さん魔法使い 通常
本文,\N[3]さん\.,
本文,普段は魔法使いらしく振舞っているけど,
アクター設定,お姉さん魔法使い 通常
本文,腕っぷしは\.,
本文,男性顔負けの強さだから,
アクター設定,お姉さん魔法使い 通常
本文,やぁ こんにちわ\.,
本文,調子はどうだい？,
アクター設定,カイト 通常
本文,おかげさまで…\.,
本文,順調ですよ,
アクター設定,お姉さん魔法使い 通常
本文,そう！\.,
本文,良かったよ,
アクター設定,お姉さん魔法使い 通常
本文,ここって\.,
本文,女性ばかりじゃない,
アクター設定,カイト 通常
本文,そう言われてみれば,
アクター設定,お姉さん魔法使い 通常
本文,ふふ…\.,
本文,キミはあまりそういうの気にしないんだね,
アクター設定,カイト 通常
本文,…？,
