アクター設定,
本文,シニカルなクエスチョン\|\^,
アクター設定,マリー 笑顔
本文,いきなりですが！,
アクター設定,マリー 特殊２
本文,ここで\N[5]くんに\.,
本文,クエスチョン！,
アクター設定,マリー 特殊１
本文,デデーン！,
アクター設定,カイト 驚き・動揺
本文,いきなりすぎますよ！？,
アクター設定,マリー 通常
本文,元々ここは\.,
本文,なんだったでしょうか？,
アクター設定,カイト 不信・怒り
本文,漠然としすぎて\.,
本文,わかりませんよ,
アクター設定,マリー 驚き・動揺
本文,んー…\.,
本文,さっそく第一ヒント？,
アクター設定,マリー 笑顔
本文,この洞窟と似たような雰囲気を\.,
本文,どこかで感じたことはないかね？,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,カイト 不信・怒り
本文,わからないです,
アクター設定,マリー 不信・怒り
本文,むむむ…,
アクター設定,マリー 笑顔
本文,何がどういうふうに\.,
本文,わからないか 教えてもらえるかね？,
アクター設定,カイト 不信・怒り
本文,\N[4]先生がボクに\.,
本文,何を期待しているのかわかりません,
アクター設定,マリー 驚き・動揺
本文,おおぅ…\.,
本文,そう来たか,
アクター設定,マリー 笑顔
本文,\N[5]くん\.,
本文,すっかり生意気になったねぇ,
アクター設定,マリー 笑顔
本文,先生は少しだけ\.,
本文,イラっとしたよ,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,カイト 不信・怒り
本文,いつも そうやって\.,
本文,はぐらかしますよね,
アクター設定,マリー 通常
本文,んー？,
アクター設定,マリー 通常
本文,キミはいったい\.,
本文,何を言っておるのかね？,
アクター設定,カイト 不信・怒り
本文,\N[4]先生はいつも勝手で\.,
本文,こちらの質問に答えてくれません,
アクター設定,マリー 驚き・動揺
本文,えー！？,
アクター設定,マリー 笑顔
本文,そんなことないよ\.,
本文,アタシは先生だもん,
アクター設定,マリー 特殊２
本文,生徒の質問には\.,
本文,何でも答えるよ,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,カイト 不信・怒り
本文,ボクは\N[4]先生と\.,
本文,もっと本音で話をする必要があると思います,
アクター設定,マリー 驚き・動揺
本文,えー！？,
アクター設定,マリー 通常
本文,これまでいっぱい\.,
本文,話してきたじゃん,
アクター設定,マリー 驚き・動揺
本文,アタシ\.,
本文,何か間違ったこと教えたかね？,
アクター設定,カイト 不信・怒り
本文,いえ…\.,
本文,\N[4]先生はいつも正しいです,
アクター設定,マリー 笑顔
本文,だよねぇ！,
アクター設定,カイト 不信・怒り
本文,でもボクは…,
アクター設定,カイト 不信・怒り
本文,\N[4]先生を\.,
本文,信用できないんです,
アクター設定,マリー 通常
本文,ん…？,
アクター設定,マリー 通常
本文,それはどうしてだろうね？,
アクター設定,カイト 不信・怒り
本文,それが…\.,
本文,わからないんです,
アクター設定,マリー 通常
本文,ふーん…,
アクター設定,マリー 不信・怒り
本文,あのね\.,
本文,\N[5]くん,
アクター設定,マリー 通常
本文,世の中には\.,
本文,色んな人がいるんだよ,
アクター設定,マリー 通常
本文,自分よがりで\.,
本文,話を聞いてくれない人や,
アクター設定,マリー 通常
本文,権力や身分が違いすぎて\.,
本文,話ができない人や,
アクター設定,マリー 不信・怒り
本文,頭が悪すぎて話にならない人,
アクター設定,マリー 驚き・動揺
本文,そういうのに\.,
本文,どうやって対応するか,
アクター設定,マリー 笑顔
本文,頭の良いキミなら\.,
本文,わかるはずだと思うけど,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,カイト 不信・怒り
本文,先生は意地悪です,
アクター設定,マリー 通常
本文,…,
アクター設定,マリー 不信・怒り
本文,あっそう…,
アクター設定,マリー 通常
本文,\N[5]くん,
アクター設定,マリー 笑顔
本文,もう何も答えなくて\.,
本文,シャーラップだよ,
アクター設定,マリー 通常
本文,アタシと\N[5]くんは\.,
本文,もっと別な関係で…,
アクター設定,マリー 通常
本文,別のタイミングで…\.,
本文,知り合えたら良かったんだよ,
