アクター設定,マリー 通常
本文,では…\.,
本文,今日の授業はここまででーす,
アクター設定,マリー 笑顔
本文,あー…そうそう,
アクター設定,マリー 笑顔
本文,来週から元の担当が産休から戻るので\.,
本文,アタシとは今日でお別れでーす,
アクター設定,生徒Ａ 笑顔
本文,えぇーっ！,
アクター設定,生徒Ｂ 笑顔
本文,\N[4]先生が良いのに,
アクター設定,マリー 笑顔
本文,おおぅ！\.,
本文,キミたち いいねぇいいねぇ,
アクター設定,生徒Ｂ 笑顔
本文,だって\.,
本文,\N[4]先生かわいいし,
アクター設定,生徒Ａ 笑顔
本文,授業中寝てても怒らないし,
アクター設定,マリー 特殊１
本文,いいぞキミたち\.,
本文,もっとアタシの株を上げたまへ！,
アクター設定,生徒Ｂ 笑顔
本文,じゃあ先生さようならー,
アクター設定,マリー 笑顔
本文,宿題忘れんなよ～,
アクター設定,マリー 笑顔
本文,歯 磨けよ～,
アクター設定,マリー 通常
本文,はぁーあ,
アクター設定,マリー 驚き・動揺
本文,くだらない生徒ばっか！,
アクター設定,マリー 不信・怒り
本文,魔法学校も\.,
本文,墜ちたもんだね,
アクター設定,マリー 不信・怒り
本文,バカの振りしてると\.,
本文,バカしか寄ってこねぇし…,
アクター設定,マリー 通常
本文,元\.・魔法学校だし\.,
本文,そんなもんか,
アクター設定,マリー 通常
本文,さて…\.,
本文,今日はもう授業ないし,
アクター設定,マリー 通常
本文,お昼ご飯にでも\.,
本文,行くとするかね,
