アクター設定,ニナ 通常
本文,すっかり遅くなっちゃったね\|\|\^,
アクター設定,ニナ 特殊１
本文,\N[6]さん\.,
本文,怒ってるかなぁ…\|\|\^,
アクター設定,カイト 通常
本文,たぶん…\|\|\^,
アクター設定,ニナ 通常
本文,そういえば…\.,
本文,少し気になったんだけど\|\^,
アクター設定,ニナ 通常
本文,\N[5] \.ピアノの道具\.,
本文,いつも大事にしてるね,
アクター設定,カイト 通常
本文,これは…,
アクター設定,カイト 不信・怒り
本文,父が捨てたものだけど…\.,
本文,こっそり\.貰ったんだ,
アクター設定,ニナ 驚き・動揺
本文,ごめん…\.,
本文,変なこと聞いちゃったね,
アクター設定,カイト 笑顔
本文,ううん \.別に気にしてないよ,
アクター設定,ニナ 特殊１
本文,それなら良いんだけど…,
アクター設定,ニナ 笑顔
本文,でも…\.,
本文,ちょっと羨ましいな,
アクター設定,カイト 通常
本文,えっ…？,
アクター設定,ニナ 通常
本文,わたしには\.,
本文,そういうもの\. ないから,
アクター設定,ニナ 特殊１
本文,みーんな\.,
本文,あの黒い雪の夜になくなっちゃった,
アクター設定,カイト 通常
本文,そうなんだ…\|\|\^,
アクター設定,ニナ 通常
本文,…,
アクター設定,カイト 通常
本文,…,
アクター設定,ニナ 通常
本文,…でも 今は\.,
本文,寂しくないんだよ,
アクター設定,ニナ 通常
本文,だって ほら,
アクター設定,ニナ 笑顔
本文,\N[5]\.,
本文,扉を開けて,
アクター設定,カイト 驚き・動揺
本文,ん…？\.,
本文,うん…,
アクター設定,リン 通常
本文,\N[5] おかえり～,
アクター設定,カイト 通常
本文,えっ…！？,
アクター設定,ハティ 通常
本文,おかえりっ！\.,
本文,もう待ちくたびれたよ,
アクター設定,オルフェ 通常
本文,ぼく おなか空いたよ～,
アクター設定,ニナ 通常
本文,食べ盛りのキミ達のために…,
アクター設定,ニナ 笑顔
本文,\N[5]とわたしで\.,
本文,いーっぱい採ってきたよっ,
アクター設定,リン 通常
本文,わぁ やったー,
アクター設定,ソラ 不信・怒り
本文,こんな遅くまで\.,
本文,どこほっつき歩いてた！,
アクター設定,ソラ 通常
本文,って \.普段なら怒るとこなんだけど,
アクター設定,ソラ 笑顔
本文,二人共 おかえり\.,
本文,そして…,
アクター設定,ソラ 笑顔
本文,改めまして　\N[5]…,
アクター設定,ソラ 笑顔
本文,ようこそ \.孤児院へ！,
アクター設定,ニナ 笑顔
本文,来るのいきなりだったから\.,
本文,歓迎会 開くの遅くなっちゃったね,
アクター設定,ハティ 通常
本文,もう \.,
本文,はやく始めようぜ！,
アクター設定,リン 通常
本文,ちょっと～食べる前に\.,
本文,いただきますしなくちゃダメでしょ～,
アクター設定,オルフェ 通常
本文,いただきます～,
アクター設定,ソラ 通常
本文,アンタ達\.,
本文,気が早いって…,
アクター設定,ソラ 不信・怒り
本文,\N[2]も\N[5]も\.,
本文,まだ手洗ってないじゃない,
アクター設定,オルフェ 通常
本文,ちぇ～ 仕方ない…,
アクター設定,オルフェ 通常
本文,ぼく待ってる,
アクター設定,ニナ 通常
本文,\N[5] どうしたの？\.,
本文,扉の前でぼーっとしちゃって,
アクター設定,カイト 通常
本文,いや…,
アクター設定,カイト 通常
本文,なんだか…\.,
本文,ビックリしちゃって,
アクター設定,リン 通常
本文,サプライズ\.,
本文,だいせいこう～,
アクター設定,ソラ 笑顔
本文,フフ…\.,
本文,感激で泣いちゃってもいいんだよ,
アクター設定,ニナ 不信・怒り
本文,んもぅ…\.,
本文,みんな茶化さないの！,
アクター設定,ニナ 通常
本文,ほらっ \N[5]\.,
本文,早く手洗いに行こっ！,
アクター設定,カイト 笑顔
本文,うん！,
アクター設定,ニナ 通常
本文,ここは\.,
本文,みんな家族みたいなものだから,
アクター設定,ニナ 通常
本文,わたしは寂しくなんかないんだ,
アクター設定,ニナ 通常
本文,もちろん \N[5]のことも\.,
本文,大事だと思うし,
アクター設定,ニナ 通常
本文,よろしくね \N[5],
アクター設定,カイト 通常
本文,うん\.,
本文,こちらこそ…,
