アクター設定,アーシア 通常
本文,聞きましたよ\.,
本文,\N[5]少年！,
アクター設定,アーシア 笑顔
本文,\N[3]さんの\.,
本文,仲間になるんですね,
アクター設定,アーシア 笑顔
本文,ふふーん…,
アクター設定,カイト 通常
本文,な なんですか？,
本文,その笑顔…,
アクター設定,アーシア 笑顔
本文,そりゃあ…,
アクター設定,アーシア 笑顔
本文,（ここだけの話）,
アクター設定,アーシア 笑顔
本文,（\N[14]さんのこと,
本文,　調べるためっすよね？）,
アクター設定,カイト 通常
本文,（それもありますけど…）,
アクター設定,アーシア 通常
本文,ありゃ\.,
本文,違うんですかい？,
アクター設定,カイト 笑顔
本文,魔法使いになったら\.,
本文,もっと誰かの役に立てるかなって,
アクター設定,アーシア 通常
本文,ほぅ…,
アクター設定,カイト 不信・怒り
本文,\N[3]さんたち魔法使いは\.,
本文,マモノと戦って街を護っているのに,
アクター設定,カイト 不信・怒り
本文,変な噂のせいで,
本文,避けられたり非難されています,
アクター設定,カイト 通常
本文,それって,
本文,おかしいじゃないですか？,
アクター設定,アーシア 通常
本文,…ふーん,
アクター設定,カイト 通常
本文,何も悪いことしていないのに,
本文,悪者みたいな扱いされてて,
アクター設定,カイト 通常
本文,だから…,
アクター設定,アーシア 通常
本文,よーくわかりますよ\.,
本文,その気持ち,
アクター設定,アーシア 通常
本文,つまるところ…,
アクター設定,アーシア 笑顔
本文,\N[5]少年も\.,
本文,立派な男の子だった！,
アクター設定,アーシア 通常
本文,って わけですねぇ,
アクター設定,カイト 驚き・動揺
本文,えっ…？,
アクター設定,アーシア 笑顔
本文,カッコつけたい,
本文,お年頃ですしねぇ,
アクター設定,カイト 驚き・動揺
本文,そういうわけじゃ,
アクター設定,アーシア 通常
本文,まぁまぁ,
本文,そういうことなら,
アクター設定,アーシア 通常
本文,あたしも力を貸しますぜよ,
アクター設定,カイト 通常
本文,もう隠れてなくて,
本文,大丈夫なんですか？,
アクター設定,アーシア 通常
本文,うーん…,
アクター設定,アーシア 笑顔
本文,いいんじゃん？,
アクター設定,カイト 通常
本文,はぁ…,
アクター設定,アーシア 通常
本文,ってことで\.,
本文,卒業祝いに何かしなきゃですねぇ,
