アクター設定,アーシア 通常
本文,昨日はどうだった？\.,
本文,何か聞けた？,
アクター設定,カイト 不信・怒り
本文,少しだけ…でしたけど,
アクター設定,アーシア 笑顔
本文,おぉ 収穫あったようで\.,
本文,何よりでしたなぁ,
アクター設定,カイト 通常
本文,慣れないことしたので,
本文,疲れました…,
アクター設定,アーシア 通常
本文,そのうち慣れますって,
アクター設定,カイト 通常
本文,でも こういうのって,
本文,嫌われたりしないでしょうか？,
アクター設定,カイト 通常
本文,いろんなこと詮索するのって,
アクター設定,アーシア 通常
本文,んー…\|\^,
アクター設定,アーシア 通常
本文,\N[5]少年なら\.,
本文,全然 大丈夫でしょう,
アクター設定,アーシア 笑顔
本文,かわいいですし,
アクター設定,カイト 通常
本文,その\. かわいい,
本文,って言うのは ちょっと…,
アクター設定,アーシア 勝利・喜び
本文,おおぅ\.,
本文,照れなくてもいいってのに,
アクター設定,アーシア 通常
本文,…,
アクター設定,アーシア 通常
本文,まぁ 時には嫌がられることも\.,
本文,ありますけどね,
アクター設定,アーシア 通常
本文,なーんもしなかったら,
アクター設定,アーシア 通常
本文,なーんも手に入りませんから,
アクター設定,アーシア 笑顔
本文,気にするだけ損ってもんですよ,
アクター設定,アーシア 通常
本文,いいですか\.,
本文,\N[5]少年？,
アクター設定,アーシア 通常
本文,情報収集の基本は\.,
本文,聞いて\.見て\.よく話す！,
アクター設定,アーシア 笑顔
本文,ですよ,
アクター設定,カイト 笑顔
本文,それ…\.,
本文,その通りかもしれないです,
アクター設定,カイト 通常
本文,あの…,
アクター設定,カイト 通常
本文,ありがとうございました,
アクター設定,アーシア 驚き・動揺
本文,うぇ！？\.,
本文,急になんざんしょ？,
アクター設定,カイト 通常
本文,以前のボクだったら,
アクター設定,カイト 通常
本文,他人にいろんなこと聞いたりするの\.,
本文,できなかったと思うので,
アクター設定,アーシア 悲しみ・焦り
本文,いやぁ！？\.,
本文,全然たいしたことしてないですし,
アクター設定,アーシア 悲しみ・焦り
本文,はは 参っちゃうぜ,
アクター設定,アーシア 通常
本文,そんじゃ\.,
本文,あたしも何か情報もってこなきゃですね,
