アクター設定,アーシア 通常
本文,えーっとですね,
アクター設定,アーシア 通常
本文,\N[3]さんは,
本文,無表情で 反応薄くて,
アクター設定,アーシア 通常
本文,とっつきにくい,
本文,イメージありますけど,
アクター設定,アーシア 笑顔
本文,実は結構,
本文,ノセやすいんですよ,
アクター設定,カイト 通常
本文,ノセる…？,
アクター設定,アーシア 笑顔
本文,そうですねぇ…,
本文,例えるなら,
アクター設定,アーシア 通常
本文,できるだけ回りくどーく,
本文,外堀を埋めておいて,
アクター設定,アーシア 通常
本文,なかなか確信にせまらない話,
本文,ってあるじゃないですか,
アクター設定,カイト 驚き・動揺
本文,…？,
アクター設定,アーシア 通常
本文,怖い話とかでさ,
アクター設定,アーシア 笑顔
本文,おばけが でるぞー でるぞー,
本文,って雰囲気だけ煽って,
アクター設定,アーシア 笑顔
本文,もったいぶって,
本文,なかなか出てこないってやつ,
アクター設定,カイト 通常
本文,あ… それなら,
本文,なんとなくわかります,
アクター設定,アーシア 笑顔
本文,\N[3]さんは,
本文,そういう雰囲気に弱いんで,
アクター設定,アーシア 通常
本文,うまくノセられれば,
アクター設定,アーシア 勝利・喜び
本文,つい本音をぽろっと,
本文,ゲロっちゃう\. かも？,
