アクター設定,アーシア 通常
本文,おおぅ…\N[5]少年\.,
本文,依頼を請けてくれるのですか！,
アクター設定,カイト 通常
本文,まぁ\.,
本文,他に手がかりもなさそうですし,
アクター設定,アーシア 笑顔
本文,かわいい顔して\.,
本文,なかなか度胸がおありですなぁ,
アクター設定,カイト 不信・怒り
本文,かわいいって…,
アクター設定,アーシア 不信・怒り
本文,ただ この依頼\.,
本文,二人じゃキツそうなんですよね,
アクター設定,アーシア 通常
本文,\N[5]少年\.,
本文,誰か誘えそうな人はいる？,
アクター設定,カイト 通常
本文,マモノ退治なら\N[3]さんが,
本文,手伝ってくれると言ってました,
アクター設定,アーシア 驚き・動揺
本文,あぁ そういえば\.,
本文,そんなこと言ってましたねえ,
アクター設定,カイト 不信・怒り
本文,あとは…,
アクター設定,アーシア 笑顔
本文,\N[5]少年,
アクター設定,カイト 不信・怒り
本文,（…\N[2]に頼んでみようかな）,
アクター設定,アーシア 通常
本文,おーい \N[5]少年,
アクター設定,アーシア 笑顔
本文,なんならあたしと\.,
本文,二人っきりというのもアリですぜ,
アクター設定,カイト 通常
本文,（迷惑になっちゃうから,
本文,　\N[2]誘うのはやめとこう…）,
アクター設定,アーシア 驚き・動揺
本文,ちょい！\. 聞いてるんかい！,
アクター設定,カイト 通常
本文,あ…\. ごめんなさい…,
アクター設定,アーシア 通常
本文,やっぱし \N[3]さん\.,
本文,誘っておこうか,
アクター設定,アーシア 悲しみ・焦り
本文,後で何言われるかわからんし,
アクター設定,カイト 通常
本文,わかりました,
アクター設定,アーシア 通常
本文,よし そうと決まれば\.,
本文,準備して行くぜよっ！,
