アクター設定,アーシア 通常
本文,いやぁ\.,
本文,珍しいっすね,
アクター設定,アーシア 通常
本文,皆さん 一堂に会するなんて,
アクター設定,レミィ 通常
本文,まるでパーティね,
アクター設定,マリー 通常
本文,ついでだから やっちゃう？,
アクター設定,マリー 笑顔
本文,\N[5]くんの卒業パーティ！,
アクター設定,カイト 通常
本文,そんな…,
本文,大袈裟ですよ,
アクター設定,カイト 通常
本文,でも,
本文,孤児院のみんなとも一緒にできたら,
アクター設定,カイト 不信・怒り
本文,もっと楽しいんだろうな…,
アクター設定,アーシア 笑顔
本文,にしし,
アクター設定,アーシア 笑顔
本文,\N[5]少年の周りは,
本文,年増の女ばっかりっすからねぇ,
アクター設定,カイト 驚き・動揺
本文,そういう意味で,
本文,言ったわけじゃないけど,
アクター設定,マリー 通常
本文,ん…？,
本文,もうラストオーダーかね \N[2]くん,
アクター設定,ニナ 通常
本文,ランチタイムは終わりだよ,
アクター設定,マリー 笑顔
本文,じゃあ コーヒー牛乳,
本文,おかわりで！,
アクター設定,レミィ 通常
本文,ロイヤルミルクティー,
アクター設定,カイト 通常
本文,ボクは,
本文,もういいかな,
アクター設定,ニナ 通常
本文,かしこまりました,
アクター設定,アーシア 通常
本文,えーっと,
本文,あたしは…,
アクター設定,アーシア 通常
本文,バナナサンデー\^,
アクター設定,ニナ 驚き・動揺
本文,あのさ…,
本文,\N[5],
アクター設定,ニナ 驚き・動揺
本文,\N[5]さえよかったら,
アクター設定,ニナ 驚き・動揺
本文,一日だけ,
本文,お店貸し切りにして,
アクター設定,ニナ 通常
本文,卒業記念に,
本文,お祝いしたいんだけど…,
アクター設定,カイト 通常
本文,え…\.,
本文,そんなことできるの？,
アクター設定,ニナ 驚き・動揺
本文,\N[6]さんや他のみんなも呼んで,
アクター設定,ニナ 通常
本文,どうかな？,
アクター設定,カイト 不信・怒り
本文,みんな…,
アクター設定,マリー 笑顔
本文,良いんじゃん？,
アクター設定,マリー 通常
本文,\N[6]も孤児院のみんなも\.,
本文,あれ以来 元気なさそうだし,
アクター設定,レミィ 通常
本文,\N[5],
アクター設定,レミィ 通常
本文,他人の好意は,
本文,受け取るものよ,
アクター設定,カイト 通常
本文,そしたら…\.,
本文,\N[2]が迷惑じゃなければ,
アクター設定,ニナ 笑顔
本文,ありがとう！\.,
本文,\N[5]！,
アクター設定,ニナ 笑顔
本文,\N[6]さんたちには,
本文,わたしから伝えておくから,
アクター設定,ニナ 笑顔
本文,日にち決まったら,
本文,忘れないでね！,
アクター設定,カイト 通常
本文,わかったよ,
アクター設定,レミィ 通常
本文,私も…,
本文,オフになるように手配するわ,
アクター設定,マリー 笑顔
本文,おぉ\.,
本文,なんだか盛り上がってきたねー,
アクター設定,アーシア 悲しみ・焦り
本文,あたしの\.,
本文,バナナサンデーは…？,
