アクター設定,ノエル 通常
本文,おーい！ \n[5]！,
アクター設定,カイト 通常
本文,この声…,
アクター設定,カイト 通常
本文,\N[14]！,
アクター設定,カイト 通常
本文,どうしたの\.,
本文,そんなに慌てて？,
アクター設定,マリー 通常
本文,ん？\.,
本文,\N[5]の友達？,
アクター設定,カイト 驚き・動揺
本文,えっと…\N[14]は\|\^,
アクター設定,ノエル 通常
本文,どうしたの？\.,
本文,じゃねえよ\. 大変なんだよ！,
アクター設定,カイト 驚き・動揺
本文,えっ…？,
アクター設定,ノエル 通常
本文,盗賊が…,
アクター設定,ノエル 通常
本文,子どもたちを誘拐したんだよ！,
アクター設定,マリー 驚き・動揺
本文,な\. なんだってー！,
アクター設定,カイト 特殊１
本文,ほんとに…？,
アクター設定,ノエル 通常
本文,あぁ それでそいつら\.,
本文,アジトに向かって行ったみたいなんだ,
アクター設定,ノエル 通常
本文,はやく追いかけねぇと…,
アクター設定,マリー 不信・怒り
本文,って…\.,
本文,それ どこ情報よ？,
アクター設定,ノエル 通常
本文,どこって\.,
本文,見たんだよ この目で,
アクター設定,ノエル 通常
本文,孤児院の子供が\.,
本文,さらわれていくところを！,
アクター設定,マリー 不信・怒り
本文,なーんか\.,
本文,うそくさいなぁ…,
アクター設定,マリー 不信・怒り
本文,アタシ この孤児院と付き合い長いけど\.,
本文,キミのことは見たことないよ,
アクター設定,ノエル 通常
本文,なんだよ\. うそじゃねえよ,
アクター設定,ノエル 通常
本文,なぁ \N[5]なら\.,
本文,あたしの言ってること信じるよな！,
アクター設定,カイト 驚き・動揺
本文,ボクは…,
アクター設定,アーシア 苦痛・ダメージ
本文,いっててて…\.,
本文,放してってば もぅ～,
アクター設定,マリー 通常
本文,ん…\.,
本文,なんだあれ…？,
アクター設定,アーシア 苦痛・ダメージ
本文,腕ひっぱらないでよぅ\|\|\^,
アクター設定,ニナ 不信・怒り
本文,ごちゃごちゃ\.,
本文,言わないでください 怪しい人\|\|\^,
アクター設定,マリー 通常
本文,どちらさん？,
アクター設定,ニナ 不信・怒り
本文,孤児院の近くで見つけた\.,
本文,怪しい人です,
アクター設定,アーシア 不信・怒り
本文,怪しくないよ！\.,
アクター設定,ニナ 不信・怒り
本文,怪しくない人は\.,
本文,そんなこと言いません,
アクター設定,アーシア 悲しみ・焦り
本文,ちょ～っと\.,
本文,出るタイミングがなかっただけで,
アクター設定,カイト 不信・怒り
本文,出るタイミング…？,
アクター設定,アーシア 悲しみ・焦り
本文,いやね\.　あたしは…\.,
本文,俗に云う 情報屋 \.ってやつでして,
アクター設定,アーシア 通常
本文,こないだですね,
アクター設定,アーシア 通常
本文,事情はわからないんだけど\.,
本文,と～っても良い取引をしたんでさ,
アクター設定,アーシア 笑顔
本文,なんでかなぁ～って\.,
本文,気になってさ,
アクター設定,アーシア 笑顔
本文,ちょっくら\.,
本文,探りを入れてたのよ,
アクター設定,マリー 不信・怒り
本文,事情がわからないって…\.,
本文,ずいぶんと いい加減だね,
アクター設定,アーシア 笑顔
本文,そんなもんっすよ～,
アクター設定,アーシア 笑顔
本文,何が確かなのか\.,
本文,わかんない世の中ですから,
アクター設定,アーシア 驚き・動揺
本文,で ですね…\.,
本文,調べたらなんとびっくり！,
アクター設定,アーシア 不信・怒り
本文,やばそうな連中が…,
アクター設定,アーシア 勝利・喜び
本文,子供たちを,
本文,さらっていくではないですか！,
アクター設定,マリー 不信・怒り
本文,にわかに,
本文,怪しいなぁ…,
アクター設定,ニナ 不信・怒り
本文,あなたは それを\.,
本文,黙って見てたんですか！？,
アクター設定,アーシア 悲しみ・焦り
本文,いやぁ だって\.,
本文,おっかないじゃないですか！,
アクター設定,ノエル 通常
本文,なんだよ やっぱり\.,
本文,アタシの言った通りじゃねえか,
アクター設定,マリー 不信・怒り
本文,うーん…\.,
本文,こう立て続けに聞かされると,
アクター設定,マリー 不信・怒り
本文,あながち,
本文,嘘じゃないかもしれないね,
アクター設定,ニナ 驚き・動揺
本文,\N[4]さんは \.この人達の,
本文,言うことを信じるんですか…？,
アクター設定,マリー 不信・怒り
本文,ここで ぼーっと\.,
本文,何もしないわけにもいかないじゃん,
アクター設定,アーシア 通常
本文,そうですよ！,
アクター設定,アーシア 通常
本文,信じるものは救われる！\.,
本文,って 言うじゃないですか！,
アクター設定,ニナ 不信・怒り
本文,あなたは,
本文,黙っててください,
アクター設定,アーシア 悲しみ・焦り
本文,うぅ…この姉ちゃん\.,
本文,すげぇ怖い…,
アクター設定,カイト 驚き・動揺
本文,あの…！,
アクター設定,マリー 通常
本文,はい \N[5]くん！,
アクター設定,カイト 不信・怒り
本文,\N[14]の言ってること\.,
本文,嘘じゃないと思う,
アクター設定,ニナ 特殊１
本文,…,
アクター設定,カイト 不信・怒り
本文,だから\. ダメ元でも,
本文,はやく行った方が…,
アクター設定,マリー 通常
本文,他に手がかりもないし\.,
本文,いいんじゃん,
アクター設定,ニナ 特殊１
本文,\N[5]がそういうなら,
アクター設定,カイト 不信・怒り
本文,\N[14],
本文,案内頼める？,
アクター設定,ノエル 通常
本文,ん…\. まぁ\.,
本文,なんか腑に落ちねぇけど,
アクター設定,ノエル 通常
本文,案内してやるぜ\.,
本文,ついてきなよ,
アクター設定,マリー 特殊１
本文,いいねぇいいねぇ\.,
本文,これぞ\.チームワークって感じ,
