アクター設定,
本文,真剣に生きる理由\|\^,
アクター設定,ニナ 驚き・動揺
本文,はぁ…,
アクター設定,アーシア 笑顔
本文,あれあれ？\.,
本文,元気ないですね,
アクター設定,アーシア 不信・怒り
本文,どうしたんです？,
アクター設定,ニナ 特殊１
本文,\N[1]さん,
アクター設定,アーシア 通常
本文,ありゃ？\.,
本文,ちょっかいだしても怒らない,
アクター設定,ニナ 驚き・動揺
本文,どうして\N[1]さんは\.,
本文,魔法を使っているんですか？,
アクター設定,アーシア 通常
本文,ん？,
アクター設定,アーシア 笑顔
本文,そんなの\.,
本文,お金のためですよ,
アクター設定,アーシア 勝利・喜び
本文,裏のお仕事は\.,
本文,たくさんお金入りますし,
アクター設定,ニナ 驚き・動揺
本文,たしかに\.,
本文,お金は大事ですけど,
アクター設定,ニナ 驚き・動揺
本文,魔法を使って…\.,
本文,危険な目に遭って,
アクター設定,ニナ 不信・怒り
本文,割に合わないと思います,
アクター設定,アーシア 不信・怒り
本文,うーん…\.,
本文,そうですねぇ,
アクター設定,アーシア 通常
本文,魔法はあたしの\.,
本文,アイデンティティ\.なんですよ,
アクター設定,ニナ 通常
本文,…？,
アクター設定,アーシア 通常
本文,あたしから魔法を取ったら\.,
本文,何も残らないじゃないですか,
アクター設定,ニナ 驚き・動揺
本文,そうかもしれませんけど,
アクター設定,アーシア 悲しみ・焦り
本文,否定しないんすね…,
アクター設定,アーシア 通常
本文,でもでも\.,
本文,\N[2]さんの方が謎っすよ,
アクター設定,アーシア 通常
本文,喫茶店で働いてて\.,
本文,何も不自由なさそうなのに,
アクター設定,ニナ 不信・怒り
本文,わたしは…\.,
本文,責任だと思うから,
アクター設定,アーシア 不信・怒り
本文,と言いますと…？,
アクター設定,ニナ 不信・怒り
本文,マモノのせいで\.,
本文,誰かが不幸になるのが嫌なんです,
アクター設定,アーシア 笑顔
本文,それはそれは\.,
本文,殊勝な心がけですなぁ,
アクター設定,アーシア 通常
本文,でも\.自分をもっと大事にしないと\.,
本文,いつか心が折れちゃいますぜ,
アクター設定,ニナ 通常
本文,大丈夫…\.,
本文,たぶん,
アクター設定,アーシア 不信・怒り
本文,…,
アクター設定,アーシア 通常
本文,あぁ！\. もしかして！,
アクター設定,アーシア 笑顔
本文,\N[5]少年に告白でもしたんです？,
アクター設定,アーシア 笑顔
本文,この間\. 夜に見かけましたぜ,
アクター設定,アーシア 笑顔
本文,泣きながら\.,
本文,街を疾走する\N[2]さん！,
アクター設定,アーシア 勝利・喜び
本文,さてはふられて…,
アクター設定,ニナ 驚き・動揺
本文,…！,
アクター設定,ニナ 驚き・動揺
本文,しないです！,
アクター設定,ニナ 不信・怒り
本文,ふられてもないです,
アクター設定,ニナ 不信・怒り
本文,んもぅ！\.,
本文,どうしてあなたが見てるんですか！,
アクター設定,ニナ 不信・怒り
本文,冗談にしてもひどすぎます！,
アクター設定,アーシア 勝利・喜び
本文,おおぅ！\. これこそ\.,
本文,いつもの\N[2]さんですぜ,
アクター設定,アーシア 通常
本文,おっかないので\.,
本文,あたしは退散でーす！,
アクター設定,ニナ 驚き・動揺
本文,あ！\.,
本文,ちょっと！\.\.\^,
アクター設定,ニナ 不信・怒り
本文,…んもぅ！,
