アクター設定,ニナ 驚き・動揺
本文,もうマモノはいませんか！？,
アクター設定,傭兵くずれ 通常
本文,あぁ 大丈夫だ\.,
本文,こっちは問題ない,
アクター設定,傭兵くずれ 通常
本文,幸いにも\.,
本文,被害者はでていないようだ,
アクター設定,ニナ 通常
本文,良かったです,
アクター設定,アーシア 驚き・動揺
本文,んー？,
アクター設定,アーシア 驚き・動揺
本文,でも\.おかしいですねぇ,
アクター設定,アーシア 通常
本文,マモノは外から\.,
本文,街を襲ってきたんです？,
アクター設定,傭兵くずれ 通常
本文,いや それはないだろう,
アクター設定,傭兵くずれ 通常
本文,俺が見張っていたんだ\.,
本文,見逃すことなどありえない,
アクター設定,ニナ 不信・怒り
本文,じゃあ…\.,
本文,どこから？,
アクター設定,傭兵くずれ 不信・怒り
本文,気づいたときには,
本文,街中にいたような気がするぞ,
アクター設定,ニナ 不信・怒り
本文,本当ですか？,
アクター設定,傭兵くずれ 不信・怒り
本文,疑っているのか？,
アクター設定,傭兵くずれ 不信・怒り
本文,こんな時に…,
アクター設定,ニナ 驚き・動揺
本文,あ…\. ごめんなさい\.,
本文,そういうつもりじゃ,
アクター設定,アーシア 驚き・動揺
本文,でもでも…\.,
本文,ってことは,
アクター設定,アーシア 通常
本文,まだ街中に潜んでいるかも！\.,
本文,ってことですよね,
アクター設定,傭兵くずれ 通常
本文,あぁ\.,
本文,その可能性は否定できない,
アクター設定,アーシア 驚き・動揺
本文,それはそれは,
アクター設定,アーシア 笑顔
本文,困りましたなぁ,
アクター設定,ニナ 不信・怒り
本文,わたしは…\.,
本文,戦います,
アクター設定,傭兵くずれ 通常
本文,それは頼もしいな,
アクター設定,傭兵くずれ 通常
本文,だが無茶はするな,
アクター設定,傭兵くずれ 通常
本文,キミは魔法を使えるようだが\.,
本文,まだ若い,
アクター設定,ニナ 通常
本文,はい\. お気遣い\.,
本文,ありがとうございます,
アクター設定,アーシア 通常
本文,うーん…,
アクター設定,アーシア 笑顔
本文,（まだマモノの出処に,
本文,　気づいてないようですね）,
