アクター設定,アーシア 通常
本文,それじゃ！\.,
本文,生きてたらまた会いましょう！,
アクター設定,怪しい男 通常
本文,ふっ…\.,
本文,言ってろ,
アクター設定,アーシア 笑顔
本文,おや\. \N[4]さんじゃないっすか,
アクター設定,マリー 通常
本文,知り合い？,
アクター設定,アーシア 通常
本文,昔の仲間っすね,
アクター設定,マリー 通常
本文,ふーん…,
アクター設定,マリー 通常
本文,あれ…？,
アクター設定,マリー 笑顔
本文,驚かせようと\.,
本文,姿消してたのによくわかったね,
アクター設定,アーシア 驚き・動揺
本文,え…？,
アクター設定,アーシア 悲しみ・焦り
本文,い\. いやぁ…,
アクター設定,アーシア 勝利・喜び
本文,わかりますよ！\.,
本文,気配でなんとなく！,
アクター設定,マリー 驚き・動揺
本文,あれあれ？\.,
本文,おかしいなぁ,
アクター設定,マリー 驚き・動揺
本文,姿消してないよ\.,
本文,嘘だよ？,
アクター設定,マリー 笑顔
本文,キミは人を視覚で判断せず\.,
本文,気配で認識してるのかね？,
アクター設定,アーシア 驚き・動揺
本文,えぇ！？\.,
本文,嘘ついたんです？,
アクター設定,アーシア 不信・怒り
本文,ダメですよ！,
アクター設定,アーシア 不信・怒り
本文,噓つきは泥棒の始まりです！,
アクター設定,マリー 笑顔
本文,それは違うよ,
アクター設定,マリー 通常
本文,この世の中に\.,
本文,嘘つかない人なんていないじゃん,
アクター設定,アーシア 悲しみ・焦り
本文,物の例えですってば…,
アクター設定,マリー 通常
本文,まぁいいや\.,
本文,それより…,
アクター設定,マリー 通常
本文,また視力なくなったんだね,
アクター設定,マリー 驚き・動揺
本文,ダメじゃん,
アクター設定,アーシア 悲しみ・焦り
本文,たしかに…\.,
本文,身体も視力も有り金もピンチですけど,
アクター設定,アーシア 驚き・動揺
本文,人の不幸をおちょくるなんて\.,
本文,ひどいじゃないですか！,
アクター設定,アーシア 不信・怒り
本文,\N[4]さんは人でなしです！,
アクター設定,マリー 通常
本文,ふっふっふ,
アクター設定,マリー 通常
本文,そんな口聞いちゃって\.,
本文,良いと思っているのかね？,
アクター設定,マリー 笑顔
本文,少なくともアタシは\.,
本文,その視力を回復する術を持っているのだよ？,
アクター設定,アーシア 悲しみ・焦り
本文,い\. いや…,
アクター設定,アーシア 悲しみ・焦り
本文,冗談ですって\. 冗談！,
アクター設定,アーシア 通常
本文,ちゃんと頼まれた件も,
本文,調査してますから！,
アクター設定,マリー 通常
本文,ほぅ…\.,
本文,それで成果のほどは？,
アクター設定,アーシア 笑顔
本文,むふふ…\.,
本文,ここではちょっと,
アクター設定,マリー 笑顔
本文,おぉ！\.,
本文,これは期待できそうじゃん,
アクター設定,マリー 通常
本文,ちなみに\.,
本文,アタシ今日も宿直なんだけど…,
アクター設定,アーシア 通常
本文,なるほど\.,
本文,そういうことっすね,
アクター設定,アーシア 攻撃時
本文,了解でっす！,
