アクター設定,
本文,エーとかビーとか\|\^,
アクター設定,アーシア 驚き・動揺
本文,そういや…,
アクター設定,アーシア 通常
本文,\N[5]少年\.,
本文,喫茶店で働いてるらしいっすね,
アクター設定,ニナ 通常
本文,うん\.,
本文,\N[5]が来てから…,
アクター設定,ニナ 通常
本文,お客さんがたくさん\.,
本文,来るようになって大変だよ,
アクター設定,アーシア 笑顔
本文,ほほぅ,
アクター設定,アーシア 笑顔
本文,いよいよ みんな\.,
本文,\N[5]少年の魅力に気づいたとみた,
アクター設定,ニナ 笑顔
本文,\N[5]は気が利くし\.,
本文,人当たりも良いから助かってるよ,
アクター設定,アーシア 笑顔
本文,ぶっちゃけ…\.,
本文,どうやって口説いたんです？,
アクター設定,ニナ 驚き・動揺
本文,えっ…！？,
アクター設定,ニナ 驚き・動揺
本文,いや…\.,
本文,\N[5]の方からウチに来たから,
アクター設定,アーシア 通常
本文,ほぅほぅ！\.,
本文,ということは…,
アクター設定,アーシア 勝利・喜び
本文,同棲してるってことっすね！,
アクター設定,ニナ 不信・怒り
本文,…,
アクター設定,ニナ 驚き・動揺
本文,ま\. まぁ…,
アクター設定,アーシア 通常
本文,どこまでの関係なんです？\.,
本文,エーとかビーとか,
アクター設定,ニナ 特殊１
本文,わたしと\N[5]は\.,
本文,そういう関係じゃ…！？,
アクター設定,アーシア 笑顔
本文,あれあれ？\.,
本文,違うんですか～ 怪しいですな,
アクター設定,マリー 通常
本文,キミたち\.,
本文,お楽しみのところ悪いんだけど,
アクター設定,マリー 特殊１
本文,\N[5]くんに\.,
本文,聞こえちゃうぞ！,
アクター設定,アーシア 悲しみ・焦り
本文,これは失敬失敬！,
