アクター設定,緊張しい魔法使い 通常
本文,んー…\.,
本文,でも心配です,
アクター設定,レミィ 通常
本文,心配いらないわ,
アクター設定,レミィ 通常
本文,農園を開くといっても\.,
本文,見回りやマモノ退治は続けるもの,
アクター設定,カイト 通常
本文,それはさすがに大変なのでは…,
アクター設定,レミィ 驚き・動揺
本文,休耕期間は…\.,
本文,暇だと聞いているから,
アクター設定,レミィ 驚き・動揺
本文,問題ないわ,
アクター設定,緊張しい魔法使い 通常
本文,違います\.,
本文,\N[3]さんが無理しすぎるのが心配なんです,
アクター設定,レミィ 特殊１
本文,それは…\.,
本文,困ったわ,
アクター設定,緊張しい魔法使い 通常
本文,今よりもっと,
本文,お仕事が増えるんですが,
アクター設定,緊張しい魔法使い 通常
本文,果たしてわたしに務まるかどうか…,
アクター設定,カイト 笑顔
本文,きっと大丈夫ですよ,
アクター設定,レミィ 通常
本文,えぇ…\.,
本文,貴方なら問題ないわ,
アクター設定,緊張しい魔法使い 通常
本文,\N[3]さん…,
アクター設定,レミィ 通常
本文,少なくとも…,
アクター設定,レミィ 通常
本文,貴方は私より\.,
本文,政務に向いているはず,
アクター設定,緊張しい魔法使い 通常
本文,そんな…\.,
本文,ありがとうございます,
アクター設定,緊張しい魔法使い 通常
本文,え\. えーっとですね,
アクター設定,緊張しい魔法使い 通常
本文,わたし…\.,
本文,昇進するみたいです,
アクター設定,カイト 笑顔
本文,そうなんですね！\.,
本文,おめでとうございます！,
アクター設定,緊張しい魔法使い 通常
本文,え\. へへ…,
アクター設定,緊張しい魔法使い 通常
本文,あの…,
アクター設定,緊張しい魔法使い 通常
本文,いえ\.,
本文,なんでもないです,
アクター設定,カイト 通常
本文,どうしました？,
アクター設定,緊張しい魔法使い 通常
本文,…,
