アクター設定,
本文,伝承などと云うものは\.,
本文,真実性に乏しいもので…,
アクター設定,マリー 通常
本文,結局…,
本文,ドラゴンもいなかったし,
アクター設定,マリー 驚き・動揺
本文,温泉も入れなかったじゃん！,
アクター設定,
本文,例の集落は…,
アクター設定,
本文,温泉が噴き出す周期にあわせて\.,
本文,生贄を捧げていたに過ぎない,
アクター設定,
本文,古の人はその水流を,
本文,ドラゴンだと思ったのか？,
アクター設定,
本文,恐らくその勘違いが,
本文,現代にも そのまま伝わっている,
アクター設定,
本文,それだけのことだろう,
アクター設定,
本文,洞窟の天井部には,
本文,いくつもの噴出孔ができていた,
アクター設定,
本文,過去に起きた噴射の際に,
本文,削られて出来たものだろう,
アクター設定,
本文,生贄として閉じ込められた人は…,
アクター設定,
本文,浮力によって,
本文,その噴出孔に導かれ,
アクター設定,
本文,集落の外に逃げることができる,
アクター設定,
本文,そして二度と,
本文,集落に戻ることはない,
アクター設定,
本文,集落の人々は\.,
本文,その事実を知らずに…,
アクター設定,
本文,ドラゴンという\.,
本文,都合のいい存在を信じ続け…,
アクター設定,
本文,現在に至る…,
アクター設定,
本文,世間は噂や不確実な情報でも,
本文,簡単に動いてしまう,
アクター設定,
本文,誰もかれも都合のいい話が,
本文,大好きだし 楽だから,
アクター設定,マリー 笑顔
本文,謎は全て解けた！,
アクター設定,マリー 不信・怒り
本文,つまんないな,
アクター設定,マリー 不信・怒り
本文,けどさ…\.,
アクター設定,マリー 通常
本文,どうかね…？,
アクター設定,マリー 通常
本文,この伝承とか云う\.,
本文,不確実なもの…,
アクター設定,マリー 特殊２
本文,実際に起こしてみたら…,
アクター設定,マリー 笑顔
本文,面白いと思わんかね！,
