アクター設定,アーシア 通常
本文,…,
アクター設定,マリー 通常
本文,どう？,
アクター設定,アーシア 驚き・動揺
本文,少しボヤーっとしますけど\.,
本文,見えるようになりました！,
アクター設定,マリー 通常
本文,おおぉ！,
アクター設定,マリー 笑顔
本文,使ったことなかったけど\.,
本文,すごいじゃん これ！,
アクター設定,マリー 笑顔
本文,エーテルって\.,
本文,やっぱし 効くもんなんだね,
アクター設定,アーシア 不信・怒り
本文,薬 切れたら\.,
本文,また戻ったりしないですよね？,
アクター設定,マリー 通常
本文,それは経過観察ってことにするけど,
アクター設定,マリー 不信・怒り
本文,うーん…\.,
本文,なるほどね,
アクター設定,マリー 笑顔
本文,手っ取り早く稼ぐのに\.,
本文,こんなに都合の良い薬はないね,
アクター設定,マリー 通常
本文,結構 稼いだでしょ？,
アクター設定,アーシア 笑顔
本文,まぁ ボチボチですぜ,
アクター設定,マリー 驚き・動揺
本文,あー！,
アクター設定,マリー 驚き・動揺
本文,いーけないんだ\.,
本文,いけないんだ！,
アクター設定,マリー 驚き・動揺
本文,先生に言ってやろ！,
アクター設定,アーシア 勝利・喜び
本文,\N[4]さん…\.,
本文,あなた先生じゃないですか！？,
アクター設定,マリー 笑顔
本文,ふっふっふ\.,
本文,そうとも言う,
アクター設定,アーシア 笑顔
本文,\N[4]さん どうして,
本文,エーテル持ってるんです？,
アクター設定,マリー 笑顔
本文,ふっふっふ\.,
本文,知りたいかね？,
アクター設定,アーシア 勝利・喜び
本文,いいや 興味ないです,
アクター設定,マリー 不信・怒り
本文,あっ そう…,
アクター設定,マリー 通常
本文,ちゃんと協力さえすれば\.,
本文,また提供してあげるから,
アクター設定,マリー 笑顔
本文,さっさと あの女の居場所,
本文,突き止めてよ,
アクター設定,マリー 通常
本文,これ以上\.,
本文,魔法使いの立場悪くなったら…,
アクター設定,マリー 通常
本文,やりにくいっての,
アクター設定,アーシア 悲しみ・焦り
本文,あいあいサー！,
アクター設定,アーシア 悲しみ・焦り
本文,首を揃えて\.,
本文,待っちゃってください！,
アクター設定,アーシア 通常
本文,さーって\.,
本文,元気になったところで,
アクター設定,アーシア 通常
本文,せっせと,
本文,聞き込みしちゃいますぜ,
アクター設定,アーシア 通常
本文,\N[3]さんってば\.,
本文,どこ行っちゃったんでしょう,
