アクター設定,マリー 笑顔
本文,やほー\.,
本文,\N[5]くん元気してたかね？,
アクター設定,カイト 通常
本文,\N[4]先生\.,
本文,お久しぶりです,
アクター設定,マリー 通常
本文,料理してるんだ\.,
本文,すごいね～,
アクター設定,カイト 通常
本文,簡単なものしか作れませんけれど…,
アクター設定,マリー 通常
本文,\N[5]くん\.,
本文,コーヒー牛乳,
アクター設定,カイト 驚き・動揺
本文,あ…,
アクター設定,カイト 笑顔
本文,用意しますね,
アクター設定,マリー 笑顔
本文,あぁ…\.,
本文,お客さま待遇って感じがする,
アクター設定,マリー 通常
本文,\N[5]くん \.おやつある？,
アクター設定,カイト 通常
本文,クッキーでよければ,
アクター設定,マリー 笑顔
本文,それでお願い～,
アクター設定,マリー 通常
本文,あぁ…,
アクター設定,マリー 通常
本文,ごくらくごくらく,
アクター設定,マリー 通常
本文,相変わらず\.,
本文,忙しそうだね,
アクター設定,ソラ 通常
本文,まぁね…\.,
本文,人が増えたからね,
アクター設定,カイト 不信・怒り
本文,…,
アクター設定,ソラ 驚き・動揺
本文,あ…！\.,
本文,\N[5]のこと言ってるわけじゃなくて…,
アクター設定,カイト 通常
本文,ボクは別に…,
アクター設定,ソラ 驚き・動揺
本文,いきなりでビックリだったけど\.,
本文,今は逆に助かってるっていうか,
アクター設定,ソラ 驚き・動揺
本文,全然！\. ,
本文,居てもらって構わないからね\.その方が…,
アクター設定,ソラ 通常
本文,\N[2]も喜ぶと思うし,
アクター設定,マリー 通常
本文,\N[6]は相変わらず\.,
本文,話 \.下手くそだね,
アクター設定,ソラ 不信・怒り
本文,うっさいな\.,
本文,急におしかけてきたのそっちじゃない,
アクター設定,マリー 特殊２
本文,事情が事情だし\.,
本文,仕方ないじゃん,
アクター設定,マリー 通常
本文,保護した生徒が\.,
本文,たまたま\.魔法使えちゃったんだし,
アクター設定,マリー 通常
本文,魔法使うところ,
本文,見られちゃったし,
アクター設定,マリー 不信・怒り
本文,寮長怖いみたいだし,
アクター設定,ソラ 不信・怒り
本文,だったら\.,
本文,少しは責任を感じろっての,
アクター設定,マリー 驚き・動揺
本文,え～ \.だからこの一ヶ月\.,
本文,奔走してたんじゃん,
アクター設定,カイト 不信・怒り
本文,あの…,
アクター設定,カイト 通常
本文,ボク…\.,
本文,席外したほうが良いでしょうか？,
アクター設定,マリー 笑顔
本文,あ！ \.\N[5]くん\.,
本文,もう何も気にしなくてシャーラップだよ,
アクター設定,カイト 驚き・動揺
本文,え…？,
アクター設定,マリー 通常
本文,学校には課外活動ってことで\.,
本文,ここに居ても単位出るようにしたし,
アクター設定,マリー 通常
本文,保護者の方々にも\.,
本文,許可とってきたから,
アクター設定,カイト 特殊１
本文,保護者…,
アクター設定,カイト 不信・怒り
本文,ボクの家まで行ったんですか？,
アクター設定,マリー 通常
本文,おぅ… \.行ってきたさ,
アクター設定,マリー 不信・怒り
本文,片道８時間の航路！\.,
本文,滞在２時間の弾丸ツアーに…,
アクター設定,ソラ 通常
本文,なんちゅう\.,
本文,過密スケジュール,
アクター設定,マリー 不信・怒り
本文,そうそう…\.,
本文,\N[5]に謝らないといけないんだけど,
アクター設定,マリー 不信・怒り
本文,勝手に学校の資料で\.,
本文,家族のこと 調べちゃった,
アクター設定,マリー 不信・怒り
本文,ご両親\.,
本文,亡くされてるんだね,
アクター設定,ソラ 驚き・動揺
本文,ちょっ…！\.,
本文,言い方ストレートすぎるんじゃない,
アクター設定,カイト 通常
本文,いえ…\.,
本文,もう過ぎたことですから,
アクター設定,カイト 通常
本文,祖父母はなにか言ってましたか？,
アクター設定,マリー 不信・怒り
本文,特に何も…\.,
本文,って感じだったかな,
アクター設定,カイト 通常
本文,そうですか,
アクター設定,ソラ 通常
本文,…,
アクター設定,マリー 通常
本文,ってことでさ,
アクター設定,マリー 通常
本文,アタシが\N[5]くんを\.,
本文,ここに連れてきたのは…,
アクター設定,マリー 笑顔
本文,あながち間違いじゃなかった！,
アクター設定,マリー 通常
本文,というわけ,
アクター設定,ソラ 不信・怒り
本文,話を無理やりまとめようとするな,
アクター設定,マリー 通常
本文,じゃ \.報告終了ってことで,
アクター設定,マリー 通常
本文,午後の授業があるから戻るね～,
アクター設定,マリー 通常
本文,\N[5]くん,
アクター設定,カイト 通常
本文,…はい？,
アクター設定,マリー 通常
本文,学校戻りたくなったらいつでも言ってね\.,
本文,なるべく 居場所は作っとくから,
アクター設定,マリー 笑顔
本文,でも 期待はしないでね,
アクター設定,カイト 通常
本文,はぁ…,
アクター設定,マリー 笑顔
本文,そんじゃね～,
アクター設定,ソラ 通常
本文,まったく…\.,
本文,騒がしいやつ,
アクター設定,カイト 笑顔
本文,そうですね…,
アクター設定,ソラ 特殊１
本文,あ！,
アクター設定,ソラ 特殊１
本文,\N[5]\.,
本文,食事終わってからでいいんだけどさ,
アクター設定,ソラ 特殊１
本文,\N[2]の迎えに\.,
本文,市場まで行ってもらっていい？,
アクター設定,カイト 通常
本文,はい \.良いですよ,
アクター設定,ソラ 笑顔
本文,悪いね\. 助かる,
アクター設定,ソラ 通常
本文,念のため確認しておくけど,
アクター設定,ソラ 通常
本文,市場は街の南の方だからね,
アクター設定,カイト 通常
本文,さて…,
アクター設定,カイト 通常
本文,市場は南の方角だったね,
アクター設定,カイト 通常
本文,\N[2]を待たせると悪いから,
本文,寄り道せず行こう！,
