アクター設定,アーシア 通常
本文,開けてびっくり 玉手箱,
アクター設定,アーシア 笑顔
本文,にしし\.,
本文,その時までのお楽しみってことで,
アクター設定,アーシア 通常
本文,マモノ退治ばかりで\.,
本文,飽きちゃいましたぜ,
アクター設定,カイト 通常
本文,余力のあるうちは\.,
本文,掃討を続けるらしいです,
アクター設定,アーシア 笑顔
本文,まぁ ヘマした分,
本文,必死なのはわかりますけどね,
アクター設定,アーシア 驚き・動揺
本文,あー \.それはそうと,
アクター設定,アーシア 笑顔
本文,\N[5]少年\.,
本文,この後 暇っすか？,
アクター設定,カイト 通常
本文,野営の準備が終わったら,
本文,大丈夫ですよ,
アクター設定,カイト 通常
本文,夜中は,
本文,見張りの当番ではないですから,
アクター設定,アーシア 勝利・喜び
本文,おおぅ やったぜ！,
アクター設定,アーシア 通常
本文,そしたら\.,
本文,後でテントに来てくんなまし,
アクター設定,アーシア 笑顔
本文,\N[5]少年が喜びそうな\.,
本文,プレゼントをしようではないか！,
アクター設定,カイト 通常
本文,はぁ…,
本文,プレゼントって,
アクター設定,アーシア 笑顔
本文,皆まで言うな,
アクター設定,アーシア 通常
本文,開けてびっくり 玉手箱,
アクター設定,アーシア 笑顔
本文,にしし\.,
本文,その時までのお楽しみってことで,
